Precinct,County,Registered Voters,El-Mahdi Holly (I) (Dem)_Election Day Votes,El-Mahdi Holly (I) (Dem)_Advanced Voting Votes,El-Mahdi Holly (I) (Dem)_Absentee by Mail Votes,El-Mahdi Holly (I) (Dem)_Provisional Votes,El-Mahdi Holly (I) (Dem)_Choice Total,Total,
Tussahaw,Henry,3409,67,171,39,0,277,277,
Lowes,Henry,9878,698,3237,1553,1,5489,5489,
Mt Carmel,Henry,5335,238,1390,558,1,2187,2187,
Wesley Lakes,Henry,6144,477,2281,908,2,3668,3668,
McDonough,Henry,2838,226,962,452,0,1640,1640,
Hickory Flat,Henry,5122,173,857,372,0,1402,1402,
Unity Grove,Henry,4850,306,1358,449,0,2113,2113,
Pates Creek,Henry,5214,247,1585,867,1,2700,2700,
Oakland,Henry,4508,320,1426,648,0,2394,2394,
Flippen,Henry,4430,185,1195,599,0,1979,1979,
Dutchtown,Henry,2751,192,789,405,0,1386,1386,
Grove Park,Henry,4079,325,1182,411,0,1918,1918,
McDonough Central,Henry,4250,119,512,213,0,844,844,
