Precinct,County,Registered Voters,Johnny Wilson (I) (Rep)_Election Day Votes,Johnny Wilson (I) (Rep)_Advanced Voting Votes,Johnny Wilson (I) (Rep)_Absentee by Mail Votes,Johnny Wilson (I) (Rep)_Provisional Votes,Johnny Wilson (I) (Rep)_Choice Total,Total,
Locust Grove,Henry,6978,418,2075,618,1,3112,3112,
Tussahaw,Henry,3409,582,1412,329,0,2323,2323,
Sandy Ridge,Henry,4875,714,2036,395,0,3145,3145,
Westside,Henry,6971,257,668,309,1,1235,1235,
Lowes,Henry,9878,70,385,102,0,557,557,
Unity Grove,Henry,4850,484,2087,435,0,3006,3006,
Shiloh,Henry,4077,302,1023,350,0,1675,1675,
Grove Park,Henry,4079,359,1418,317,0,2094,2094,
