Precinct,County,Registered Voters,Nancy W. McGraw (I) (Dem)_Election Day Votes,Nancy W. McGraw (I) (Dem)_Advanced Voting Votes,Nancy W. McGraw (I) (Dem)_Absentee by Mail Votes,Nancy W. McGraw (I) (Dem)_Provisional Votes,Nancy W. McGraw (I) (Dem)_Choice Total,Total,
Stapleton Crossroads,Jefferson,441,80,113,58,2,253,253,
Matthews,Jefferson,621,164,129,64,0,357,357,
Wrens,Jefferson,2870,495,744,380,2,1621,1621,
Louisville,Jefferson,3899,322,1256,509,5,2092,2092,
Wadley,Jefferson,1906,287,438,282,0,1007,1007,
Bartow,Jefferson,531,106,124,57,0,287,287,
Stapleton,Jefferson,678,179,115,54,0,348,348,
Avera,Jefferson,388,131,58,35,0,224,224,
