Precinct,County,Registered Voters,Henry Grady (Tommy) New (I) (Dem)_Election Day Votes,Henry Grady (Tommy) New (I) (Dem)_Advanced Voting Votes,Henry Grady (Tommy) New (I) (Dem)_Absentee by Mail Votes,Henry Grady (Tommy) New (I) (Dem)_Provisional Votes,Henry Grady (Tommy) New (I) (Dem)_Choice Total,Total,
Stapleton Crossroads,Jefferson,441,81,108,53,2,244,244,
Wrens,Jefferson,2870,27,42,17,0,86,86,
Louisville,Jefferson,3899,134,672,242,2,1050,1050,
