Precinct,County,Registered Voters,Tripp Fitzner (Rep)_Election Day Votes,Tripp Fitzner (Rep)_Advanced Voting Votes,Tripp Fitzner (Rep)_Absentee by Mail Votes,Tripp Fitzner (Rep)_Provisional Votes,Tripp Fitzner (Rep)_Choice Total,Total,
Stapleton Crossroads,Jefferson,441,86,113,36,2,237,237,
Matthews,Jefferson,621,187,110,58,1,356,356,
Wrens,Jefferson,2870,390,601,195,1,1187,1187,
Louisville,Jefferson,3899,233,1028,267,3,1531,1531,
Wadley,Jefferson,1906,176,319,97,0,592,592,
Bartow,Jefferson,531,87,100,28,0,215,215,
Stapleton,Jefferson,678,173,99,40,0,312,312,
Avera,Jefferson,388,133,57,28,1,219,219,
