Precinct,County,Registered Voters,Max Burns (Rep)_Election Day Votes,Max Burns (Rep)_Advanced Voting Votes,Max Burns (Rep)_Absentee by Mail Votes,Max Burns (Rep)_Provisional Votes,Max Burns (Rep)_Choice Total,Ceretta Smith (Dem)_Election Day Votes,Ceretta Smith (Dem)_Advanced Voting Votes,Ceretta Smith (Dem)_Absentee by Mail Votes,Ceretta Smith (Dem)_Provisional Votes,Ceretta Smith (Dem)_Choice Total,Total,
Stapleton Crossroads,Jefferson,441,69,100,20,1,190,32,35,48,1,116,306,
Matthews,Jefferson,621,182,91,40,1,314,37,56,38,0,131,445,
Wrens,Jefferson,2870,257,508,120,0,885,302,372,302,3,979,1864,
Louisville,Jefferson,3899,119,808,156,0,1083,257,756,432,5,1450,2533,
Wadley,Jefferson,1906,85,244,47,0,376,231,271,306,0,808,1184,
Bartow,Jefferson,531,75,89,23,0,187,53,65,35,0,153,340,
Stapleton,Jefferson,678,157,91,35,0,283,72,51,37,0,160,443,
Avera,Jefferson,388,146,58,24,1,229,20,9,12,0,41,270,
