Precinct,County,Registered Voters,Luke Singletary (I) (Rep)_Election Day Votes,Luke Singletary (I) (Rep)_Advanced Voting Votes,Luke Singletary (I) (Rep)_Absentee by Mail Votes,Luke Singletary (I) (Rep)_Provisional Votes,Luke Singletary (I) (Rep)_Choice Total,Total,
Redbone,Lee,4841,32,103,20,1,156,156,
Smithville,Lee,998,25,26,8,0,59,59,
CJC,Lee,614,79,203,32,0,314,314,
Leesburg,Lee,3313,69,228,39,0,336,336,
Friendship Baptist,Lee,1376,239,570,87,0,896,896,
First Baptist,Lee,3921,207,600,140,0,947,947,
Flint Reformed Baptist,Lee,2621,50,132,23,0,205,205,
Century Fire Station,Lee,3162,22,53,30,0,105,105,
