Precinct,County,Registered Voters,Reggie D. Rachals (I) (Rep)_Election Day Votes,Reggie D. Rachals (I) (Rep)_Advanced Voting Votes,Reggie D. Rachals (I) (Rep)_Absentee by Mail Votes,Reggie D. Rachals (I) (Rep)_Provisional Votes,Reggie D. Rachals (I) (Rep)_Choice Total,Total,
Chokee,Lee,475,99,101,55,0,255,255,
Redbone,Lee,4841,790,1981,402,2,3175,3175,
Smithville,Lee,998,173,303,72,0,548,548,
CJC,Lee,614,132,284,42,0,458,458,
Leesburg,Lee,3313,477,1287,242,1,2007,2007,
Friendship Baptist,Lee,1376,240,573,87,0,900,900,
First Baptist,Lee,3921,604,1724,410,1,2739,2739,
SDA Church,Lee,1576,312,640,137,0,1089,1089,
Flint Reformed Baptist,Lee,2621,386,1034,182,0,1602,1602,
Century Fire Station,Lee,3162,428,1291,301,1,2021,2021,
