Precinct,County,Registered Voters,Rick Muggridge (I) (Rep)_Election Day Votes,Rick Muggridge (I) (Rep)_Advanced Voting Votes,Rick Muggridge (I) (Rep)_Absentee by Mail Votes,Rick Muggridge (I) (Rep)_Provisional Votes,Rick Muggridge (I) (Rep)_Choice Total,Total,
Flint Reformed Baptist,Lee,2621,221,607,95,0,923,923,
Century Fire Station,Lee,3162,402,1219,262,1,1884,1884,
