Precinct,County,Registered Voters,Susan Smith (I) (Rep)_Election Day Votes,Susan Smith (I) (Rep)_Advanced Voting Votes,Susan Smith (I) (Rep)_Absentee by Mail Votes,Susan Smith (I) (Rep)_Provisional Votes,Susan Smith (I) (Rep)_Choice Total,Total,
Chokee,Lee,475,98,102,48,0,248,248,
Redbone,Lee,4841,794,1983,397,2,3176,3176,
Smithville,Lee,998,179,306,70,0,555,555,
CJC,Lee,614,131,288,39,0,458,458,
Leesburg,Lee,3313,469,1282,234,1,1986,1986,
Friendship Baptist,Lee,1376,241,574,85,0,900,900,
First Baptist,Lee,3921,608,1713,408,1,2730,2730,
SDA Church,Lee,1576,312,635,139,0,1086,1086,
Flint Reformed Baptist,Lee,2621,394,1029,179,0,1602,1602,
Century Fire Station,Lee,3162,422,1293,298,1,2014,2014,
