Precinct,County,Registered Voters,Jon G. Burns (I) (Rep)_Election Day Votes,Jon G. Burns (I) (Rep)_Advanced Voting Votes,Jon G. Burns (I) (Rep)_Absentee by Mail Votes,Jon G. Burns (I) (Rep)_Provisional Votes,Jon G. Burns (I) (Rep)_Choice Total,Total,
Lockhart,Bulloch,720,259,129,55,0,443,443,
Church,Bulloch,5793,592,1427,650,3,2672,2672,
Blitch,Bulloch,1947,485,597,216,1,1299,1299,
Hagin,Bulloch,2403,333,331,144,3,811,811,
