Precinct,County,Registered Voters,Catherine Sumner Findley (Rep)_Election Day Votes,Catherine Sumner Findley (Rep)_Advanced Voting Votes,Catherine Sumner Findley (Rep)_Absentee by Mail Votes,Catherine Sumner Findley (Rep)_Provisional Votes,Catherine Sumner Findley (Rep)_Choice Total,Total,
Lockhart,Bulloch,720,257,129,52,1,439,439,
Emit,Bulloch,3360,636,1039,334,1,2010,2010,
Statesboro,Bulloch,6312,625,1654,655,10,2944,2944,
Portal,Bulloch,1735,469,324,147,0,940,940,
Fair,Bulloch,6335,660,2145,670,7,3482,3482,
Church,Bulloch,5793,593,1428,650,4,2675,2675,
Pittman Park,Bulloch,5279,615,1112,317,2,2046,2046,
Leefield,Bulloch,1000,371,222,79,1,673,673,
Blitch,Bulloch,1947,481,596,213,1,1291,1291,
Hagin,Bulloch,2403,517,564,241,4,1326,1326,
Brooklet,Bulloch,3351,747,1086,319,2,2154,2154,
Stilson,Bulloch,2137,641,457,173,1,1272,1272,
Bay,Bulloch,1610,558,378,141,0,1077,1077,
Nevils,Bulloch,1299,399,289,129,1,818,818,
Sinkhole,Bulloch,488,201,69,47,0,317,317,
Register,Bulloch,969,240,178,86,2,506,506,
