Precinct,County,Registered Voters,Ray Edwin Mosley (I) (Dem)_Election Day Votes,Ray Edwin Mosley (I) (Dem)_Advanced Voting Votes,Ray Edwin Mosley (I) (Dem)_Absentee by Mail Votes,Ray Edwin Mosley (I) (Dem)_Provisional Votes,Ray Edwin Mosley (I) (Dem)_Choice Total,Total,
Lockhart,Bulloch,720,66,49,39,0,154,154,
Statesboro,Bulloch,6312,432,931,516,9,1888,1888,
Portal,Bulloch,1735,338,228,156,0,722,722,
Fair,Bulloch,6335,48,69,20,2,139,139,
Church,Bulloch,5793,329,614,406,3,1352,1352,
Pittman Park,Bulloch,5279,180,291,57,1,529,529,
Hagin,Bulloch,2403,82,91,68,1,242,242,
Sinkhole,Bulloch,488,1,3,4,0,8,8,
Register,Bulloch,969,95,90,56,0,241,241,
