Precinct,County,Registered Voters,Betty C. Hill (I) (Dem)_Election Day Votes,Betty C. Hill (I) (Dem)_Advanced Voting Votes,Betty C. Hill (I) (Dem)_Absentee by Mail Votes,Betty C. Hill (I) (Dem)_Provisional Votes,Betty C. Hill (I) (Dem)_Choice Total,Total,
Claude,Peach,908,45,80,18,0,143,143,
Fort Valley 1,Peach,2669,51,150,71,0,272,272,
Fort Valley 2,Peach,2670,43,174,34,1,252,252,
Fort Valley 3,Peach,2720,127,541,332,0,1000,1000,
