Precinct,County,Registered Voters,W. L. Brown (I) (Dem)_Election Day Votes,W. L. Brown (I) (Dem)_Advanced Voting Votes,W. L. Brown (I) (Dem)_Absentee by Mail Votes,W. L. Brown (I) (Dem)_Provisional Votes,W. L. Brown (I) (Dem)_Choice Total,Total,
Byron 1,Peach,2636,177,1119,228,1,1525,1525,
Byron 2,Peach,5028,302,1935,580,4,2821,2821,
Claude,Peach,908,143,264,62,1,470,470,
Fort Valley 1,Peach,2669,235,960,371,1,1567,1567,
Fort Valley 2,Peach,2670,217,810,333,1,1361,1361,
Fort Valley 3,Peach,2720,225,795,469,2,1491,1491,
Powersville,Peach,1365,135,460,152,2,749,749,
