Precinct,County,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
Byron 1,Peach,2636,202,1307,193,1,1703,1703,
Byron 2,Peach,5028,320,2123,478,4,2925,2925,
Claude,Peach,908,196,335,70,1,602,602,
Fort Valley 1,Peach,2669,202,753,218,1,1174,1174,
Fort Valley 2,Peach,2670,173,656,166,1,996,996,
Fort Valley 3,Peach,2720,160,561,191,1,913,913,
Powersville,Peach,1365,172,556,126,4,858,858,
