Precinct,County,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,
Byron 1,Peach,2636,200,1297,201,2,1700,1700,
Byron 2,Peach,5028,326,2128,476,3,2933,2933,
Claude,Peach,908,198,339,71,1,609,609,
Powersville,Peach,1365,173,562,125,3,863,863,
