,Precinct,County,Registered Voters,Karla Drenner (I) (Dem)_Election Day Votes,Karla Drenner (I) (Dem)_Advanced Voting Votes,Karla Drenner (I) (Dem)_Absentee by Mail Votes,Karla Drenner (I) (Dem)_Provisional Votes,Karla Drenner (I) (Dem)_Choice Total,Total,calc_participation
0,Avondale,DeKalb,2906.0,299.0,1009.0,793.0,1.0,2102.0,2102.0,72.3
18,Valley Brook,DeKalb,1037.0,120.0,304.0,257.0,5.0,686.0,686.0,66.2
17,Snapfinger Road N,DeKalb,2705.0,240.0,677.0,467.0,2.0,1386.0,1386.0,51.2
16,Snapfinger Elem,DeKalb,1894.0,163.0,604.0,500.0,0.0,1267.0,1267.0,66.9
15,Shaw-Robert Shaw Elem,DeKalb,2892.0,250.0,858.0,579.0,2.0,1689.0,1689.0,58.4
14,North Decatur,DeKalb,2166.0,123.0,637.0,530.0,12.0,1302.0,1302.0,60.1
13,Midway,DeKalb,3139.0,181.0,755.0,624.0,2.0,1562.0,1562.0,49.8
12,McLendon,DeKalb,3607.0,186.0,1057.0,896.0,7.0,2146.0,2146.0,59.5
11,Knollwood,DeKalb,2546.0,262.0,665.0,467.0,7.0,1401.0,1401.0,55.0
19,Wadsworth,DeKalb,3159.0,277.0,873.0,652.0,8.0,1810.0,1810.0,57.3
10,Jolly Elem,DeKalb,3679.0,0.0,8.0,2.0,0.0,10.0,10.0,0.3
8,Glennwood,DeKalb,2715.0,9.0,126.0,102.0,0.0,237.0,237.0,8.7
7,Clarkston Community Center,DeKalb,2495.0,225.0,610.0,376.0,5.0,1216.0,1216.0,48.7
6,Covington,DeKalb,2376.0,141.0,699.0,375.0,3.0,1218.0,1218.0,51.3
5,Covington Hwy,DeKalb,995.0,54.0,101.0,61.0,1.0,217.0,217.0,21.8
4,Clarkston,DeKalb,3878.0,149.0,322.0,210.0,2.0,683.0,683.0,17.6
3,Clairemont West,DeKalb,3264.0,3.0,23.0,14.0,0.0,40.0,40.0,1.2
2,Columbia Drive,DeKalb,2526.0,216.0,584.0,469.0,7.0,1276.0,1276.0,50.5
1,Avondale High,DeKalb,3151.0,74.0,650.0,546.0,0.0,1270.0,1270.0,40.3
9,Indian Creek,DeKalb,2318.0,179.0,519.0,375.0,9.0,1082.0,1082.0,46.7
20,Winnona Park,DeKalb,2020.0,2.0,16.0,6.0,0.0,24.0,24.0,1.2
