County,Registered Voters,J. Collins (I) (Rep)_Election Day Votes,J. Collins (I) (Rep)_Advanced Voting Votes,J. Collins (I) (Rep)_Absentee by Mail Votes,J. Collins (I) (Rep)_Provisional Votes,J. Collins (I) (Rep)_Choice Total,Total,calc_participation
Carroll,41006.0,5802.0,12495.0,3126.0,3.0,21426.0,21426.0,52.3
Douglas,4915.0,469.0,2233.0,602.0,0.0,3304.0,3304.0,67.2
