,Precinct,County,Registered Voters,Joe Campbell (I) (Rep)_Election Day Votes,Joe Campbell (I) (Rep)_Advanced Voting Votes,Joe Campbell (I) (Rep)_Absentee by Mail Votes,Joe Campbell (I) (Rep)_Provisional Votes,Joe Campbell (I) (Rep)_Choice Total,Total,calc_participation
0,Bridgecreek,Colquitt,1191.0,281.0,460.0,91.0,2.0,834.0,834.0,70.0
1,Doerun,Colquitt,619.0,188.0,129.0,31.0,0.0,348.0,348.0,56.2
2,Funston,Colquitt,1030.0,298.0,281.0,74.0,3.0,656.0,656.0,63.7
3,Hamilton,Colquitt,784.0,270.0,211.0,51.0,0.0,532.0,532.0,67.9
4,Hartsfield,Colquitt,408.0,175.0,87.0,43.0,1.0,306.0,306.0,75.0
5,Millcreek,Colquitt,422.0,113.0,139.0,43.0,0.0,295.0,295.0,69.9
6,Monk,Colquitt,1555.0,360.0,477.0,111.0,0.0,948.0,948.0,61.0
7,Thigpen,Colquitt,251.0,103.0,45.0,18.0,0.0,166.0,166.0,66.1
21,West Bainbridge,Decatur,2238.0,178.0,752.0,159.0,1.0,1090.0,1090.0,48.7
20,Brinson,Decatur,836.0,165.0,294.0,67.0,0.0,526.0,526.0,62.9
19,Mt Pleasant,Decatur,564.0,133.0,227.0,47.0,0.0,407.0,407.0,72.2
23,BDGE-Fairgrounds,Decatur,3308.0,256.0,1043.0,235.0,1.0,1535.0,1535.0,46.4
22,Bainbridge-Coliseum,Decatur,5641.0,351.0,1733.0,450.0,1.0,2535.0,2535.0,44.9
12,Cotton,Mitchell,399.0,188.0,72.0,38.0,0.0,298.0,298.0,74.7
13,Hopeful,Mitchell,350.0,102.0,96.0,26.0,2.0,226.0,226.0,64.6
14,Hinsonton,Mitchell,134.0,79.0,20.0,7.0,0.0,106.0,106.0,79.1
15,Lester,Mitchell,1357.0,287.0,346.0,139.0,0.0,772.0,772.0,56.9
16,Pebble City,Mitchell,162.0,72.0,29.0,17.0,0.0,118.0,118.0,72.8
17,Pelham,Mitchell,3489.0,359.0,847.0,331.0,1.0,1538.0,1538.0,44.1
18,Sale City,Mitchell,384.0,152.0,58.0,33.0,0.0,243.0,243.0,63.3
10,Camilla North,Mitchell,1996.0,159.0,403.0,214.0,0.0,776.0,776.0,38.9
9,Branchville,Mitchell,599.0,175.0,206.0,36.0,0.0,417.0,417.0,69.6
8,Baconton,Mitchell,1129.0,214.0,269.0,85.0,0.0,568.0,568.0,50.3
11,Camilla South,Mitchell,3475.0,220.0,1199.0,434.0,3.0,1856.0,1856.0,53.4
