County,Registered Voters,William Grizzle (I)_Election Day Votes,William Grizzle (I)_Advanced Voting Votes,William Grizzle (I)_Absentee by Mail Votes,William Grizzle (I)_Provisional Votes,William Grizzle (I)_Choice Total,Total,"James """"Jimmy"""" Petty (I)_Election Day Votes","James """"Jimmy"""" Petty (I)_Advanced Voting Votes","James """"Jimmy"""" Petty (I)_Absentee by Mail Votes","James """"Jimmy"""" Petty (I)_Provisional Votes","James """"Jimmy"""" Petty (I)_Choice Total",calc_participation,Ind_total,Ind_steal
Cherokee,190531.0,26759.0,63235.0,25704.0,20.0,115718.0,115718.0,0.0,0.0,0.0,0.0,0.0,60.7,115718.0,0.0
Murray,22284.0,0.0,0.0,0.0,0.0,0.0,12959.0,3814.0,7523.0,1622.0,0.0,12959.0,58.2,12959.0,12959.0
