County,Registered Voters,Kim Schofield (I) (Dem)_Election Day Votes,Kim Schofield (I) (Dem)_Advanced Voting Votes,Kim Schofield (I) (Dem)_Absentee by Mail Votes,Kim Schofield (I) (Dem)_Provisional Votes,Kim Schofield (I) (Dem)_Choice Total,Total,calc_participation
Clayton,10996.0,1330.0,2275.0,1290.0,26.0,4921.0,4921.0,44.8
Fulton,32226.0,2389.0,8140.0,3739.0,83.0,14351.0,14351.0,44.5
