County,Registered Voters,Mandisha A. Thomas (Dem)_Election Day Votes,Mandisha A. Thomas (Dem)_Advanced Voting Votes,Mandisha A. Thomas (Dem)_Absentee by Mail Votes,Mandisha A. Thomas (Dem)_Provisional Votes,Mandisha A. Thomas (Dem)_Choice Total,Total,calc_participation
Douglas,6353.0,440.0,2155.0,1065.0,0.0,3660.0,3660.0,57.6
Fulton,41159.0,2183.0,15194.0,5639.0,121.0,23137.0,23137.0,56.2
