,Precinct,County,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,calc_participation
0,Hazzard 2,Bibb,4173.0,719.0,892.0,399.0,3.0,2013.0,2013.0,48.2
11,Warrior 1,Bibb,2617.0,680.0,624.0,253.0,3.0,1560.0,1560.0,59.6
10,Vineville 6,Bibb,3021.0,418.0,718.0,367.0,0.0,1503.0,1503.0,49.8
9,Vineville 5,Bibb,2359.0,299.0,721.0,318.0,1.0,1339.0,1339.0,56.8
8,Rutland 2,Bibb,3409.0,538.0,620.0,227.0,0.0,1385.0,1385.0,40.6
7,Rutland 1,Bibb,5704.0,1085.0,1617.0,667.0,2.0,3371.0,3371.0,59.1
12,Warrior 2,Bibb,3232.0,634.0,1001.0,319.0,5.0,1959.0,1959.0,60.6
5,Howard 6,Bibb,2213.0,279.0,676.0,273.0,8.0,1236.0,1236.0,55.9
4,Howard 3,Bibb,6397.0,164.0,504.0,237.0,0.0,905.0,905.0,14.1
3,Howard 2,Bibb,3394.0,483.0,1128.0,561.0,4.0,2176.0,2176.0,64.1
2,Howard 1,Bibb,3436.0,457.0,1106.0,625.0,1.0,2189.0,2189.0,63.7
1,Hazzard 4,Bibb,4745.0,723.0,1547.0,611.0,4.0,2885.0,2885.0,60.8
6,Howard 7,Bibb,2897.0,450.0,930.0,425.0,1.0,1806.0,1806.0,62.3
36,District 1A,Crawford,516.0,84.0,121.0,40.0,0.0,245.0,245.0,47.5
37,District 1B,Crawford,1025.0,82.0,316.0,85.0,1.0,484.0,484.0,47.2
38,District 2,Crawford,1659.0,160.0,601.0,166.0,1.0,928.0,928.0,55.9
39,District 3,Crawford,1738.0,214.0,743.0,136.0,0.0,1093.0,1093.0,62.9
41,District 5,Crawford,1769.0,377.0,616.0,165.0,0.0,1158.0,1158.0,65.5
40,District 4,Crawford,1805.0,379.0,637.0,183.0,0.0,1199.0,1199.0,66.4
27,CENT,Houston,7795.0,1164.0,1990.0,1017.0,0.0,4171.0,4171.0,53.5
31,TMS,Houston,5286.0,323.0,470.0,252.0,0.0,1045.0,1045.0,19.8
30,RECR,Houston,9277.0,79.0,174.0,99.0,0.0,352.0,352.0,3.8
29,NSES,Houston,2441.0,440.0,565.0,326.0,0.0,1331.0,1331.0,54.5
28,HHPC,Houston,9610.0,488.0,1045.0,628.0,0.0,2161.0,2161.0,22.5
26,Russellville,Monroe,466.0,145.0,137.0,24.0,0.0,306.0,306.0,65.7
24,Middlebrooks,Monroe,1319.0,223.0,587.0,85.0,0.0,895.0,895.0,67.9
17,Cox,Monroe,718.0,155.0,298.0,42.0,0.0,495.0,495.0,68.9
23,Kelseys,Monroe,722.0,143.0,209.0,63.0,0.0,415.0,415.0,57.5
22,High Falls,Monroe,1994.0,361.0,644.0,136.0,1.0,1142.0,1142.0,57.3
21,Forsyth,Monroe,4640.0,306.0,1437.0,382.0,0.0,2125.0,2125.0,45.8
20,Evers,Monroe,2127.0,301.0,968.0,160.0,0.0,1429.0,1429.0,67.2
19,Dillards,Monroe,996.0,160.0,409.0,52.0,0.0,621.0,621.0,62.3
18,Culloden,Monroe,454.0,132.0,84.0,44.0,0.0,260.0,260.0,57.3
25,Proctors,Monroe,1214.0,247.0,358.0,72.0,0.0,677.0,677.0,55.8
16,Cabaniss,Monroe,800.0,213.0,229.0,41.0,1.0,484.0,484.0,60.5
15,Burgays,Monroe,2268.0,449.0,998.0,229.0,4.0,1680.0,1680.0,74.1
14,Brantleys,Monroe,1123.0,229.0,550.0,67.0,0.0,846.0,846.0,75.3
13,Bentons,Monroe,2297.0,364.0,1014.0,233.0,1.0,1612.0,1612.0,70.2
46,Fort Valley 2,Peach,2670.0,173.0,656.0,166.0,1.0,996.0,996.0,37.3
45,Fort Valley 1,Peach,2669.0,202.0,753.0,218.0,1.0,1174.0,1174.0,44.0
44,Claude,Peach,908.0,196.0,335.0,70.0,1.0,602.0,602.0,66.3
43,Byron 2,Peach,5028.0,320.0,2123.0,478.0,4.0,2925.0,2925.0,58.2
47,Fort Valley 3,Peach,2720.0,160.0,561.0,191.0,1.0,913.0,913.0,33.6
42,Byron 1,Peach,2636.0,202.0,1307.0,193.0,1.0,1703.0,1703.0,64.6
48,Powersville,Peach,1365.0,172.0,556.0,126.0,4.0,858.0,858.0,62.9
35,Town,Upson,8239.0,608.0,2769.0,878.0,2.0,4257.0,4257.0,51.7
34,Redbone,Upson,8219.0,692.0,3732.0,827.0,2.0,5253.0,5253.0,63.9
33,Salem,Upson,370.0,49.0,58.0,61.0,0.0,168.0,168.0,45.4
32,Yatesville,Upson,1347.0,371.0,386.0,122.0,0.0,879.0,879.0,65.3
