,Precinct,County,Registered Voters,David Dreyer (I) (Dem)_Election Day Votes,David Dreyer (I) (Dem)_Advanced Voting Votes,David Dreyer (I) (Dem)_Absentee by Mail Votes,David Dreyer (I) (Dem)_Provisional Votes,David Dreyer (I) (Dem)_Choice Total,Total,calc_participation
0,01A,Fulton,3694.0,171.0,1702.0,706.0,22.0,2601.0,2601.0,70.4
16,EP02A,Fulton,2407.0,163.0,546.0,304.0,19.0,1032.0,1032.0,42.9
15,12H1,Fulton,1170.0,97.0,173.0,75.0,8.0,353.0,353.0,30.2
14,12G,Fulton,885.0,54.0,175.0,176.0,1.0,406.0,406.0,45.9
13,12F,Fulton,1229.0,111.0,298.0,89.0,1.0,499.0,499.0,40.6
12,12E1,Fulton,1906.0,119.0,297.0,239.0,3.0,658.0,658.0,34.5
11,05A2,Fulton,3343.0,142.0,1453.0,603.0,4.0,2202.0,2202.0,65.9
10,02F1,Fulton,3221.0,114.0,1299.0,704.0,6.0,2123.0,2123.0,65.9
17,EP02B,Fulton,1679.0,92.0,631.0,287.0,1.0,1011.0,1011.0,60.2
9,02E,Fulton,2009.0,107.0,900.0,459.0,0.0,1466.0,1466.0,73.0
7,01R,Fulton,1550.0,211.0,144.0,119.0,7.0,481.0,481.0,31.0
6,01P,Fulton,1444.0,204.0,219.0,165.0,4.0,592.0,592.0,41.0
5,01J,Fulton,2848.0,230.0,724.0,323.0,12.0,1289.0,1289.0,45.3
4,01G,Fulton,2312.0,138.0,745.0,281.0,1.0,1165.0,1165.0,50.4
3,01E,Fulton,3720.0,115.0,1576.0,756.0,0.0,2447.0,2447.0,65.8
2,01C,Fulton,1908.0,194.0,376.0,159.0,0.0,729.0,729.0,38.2
1,01B,Fulton,4327.0,266.0,1851.0,880.0,5.0,3002.0,3002.0,69.4
8,01T,Fulton,1799.0,175.0,452.0,175.0,1.0,803.0,803.0,44.6
18,HP01,Fulton,3824.0,330.0,995.0,468.0,5.0,1798.0,1798.0,47.0
