County,Registered Voters,Karen Bennett (I) (Dem)_Election Day Votes,Karen Bennett (I) (Dem)_Advanced Voting Votes,Karen Bennett (I) (Dem)_Absentee by Mail Votes,Karen Bennett (I) (Dem)_Provisional Votes,Karen Bennett (I) (Dem)_Choice Total,Total,calc_participation
DeKalb,26754.0,1808.0,8457.0,4609.0,34.0,14908.0,14908.0,55.7
Gwinnett,27912.0,1685.0,5758.0,3355.0,6.0,10804.0,10804.0,38.7
