,Precinct,County,Registered Voters,Michael D. Ransom (Rep)_Election Day Votes,Michael D. Ransom (Rep)_Advanced Voting Votes,Michael D. Ransom (Rep)_Absentee by Mail Votes,Michael D. Ransom (Rep)_Provisional Votes,Michael D. Ransom (Rep)_Choice Total,Joan E. Parker (Dem)_Election Day Votes,Joan E. Parker (Dem)_Advanced Voting Votes,Joan E. Parker (Dem)_Absentee by Mail Votes,Joan E. Parker (Dem)_Provisional Votes,Joan E. Parker (Dem)_Choice Total,Total,Molly Lima (I) (Rep)_Election Day Votes,Molly Lima (I) (Rep)_Advanced Voting Votes,Molly Lima (I) (Rep)_Absentee by Mail Votes,Molly Lima (I) (Rep)_Provisional Votes,Molly Lima (I) (Rep)_Choice Total,calc_participation
0,City Hall,Oconee,3910.0,258.0,1355.0,336.0,0.0,1949.0,99.0,725.0,376.0,0.0,1200.0,3149.0,,,,,,80.5
1,Colham Ferry,Oconee,1847.0,185.0,770.0,177.0,0.0,1132.0,32.0,242.0,157.0,0.0,431.0,1563.0,,,,,,84.6
2,Antioch,Oconee,1397.0,212.0,530.0,133.0,0.0,875.0,42.0,111.0,101.0,0.0,254.0,1129.0,,,,,,80.8
3,Farmington,Oconee,737.0,144.0,237.0,46.0,0.0,427.0,19.0,81.0,62.0,0.0,162.0,589.0,,,,,,79.9
4,Bishop,Oconee,1938.0,203.0,775.0,165.0,1.0,1144.0,53.0,238.0,160.0,1.0,452.0,1596.0,,,,,,82.4
5,High Shoals,Oconee,1939.0,201.0,844.0,164.0,0.0,1209.0,45.0,267.0,122.0,0.0,434.0,1643.0,,,,,,84.7
6,North Oconee,Oconee,1244.0,167.0,516.0,117.0,0.0,800.0,23.0,138.0,79.0,0.0,240.0,1040.0,,,,,,83.6
7,Dark Corner,Oconee,3541.0,425.0,1610.0,335.0,0.0,2370.0,59.0,341.0,188.0,1.0,589.0,2959.0,,,,,,83.6
8,Bogart,Oconee,2384.0,296.0,822.0,217.0,0.0,1335.0,79.0,262.0,163.0,0.0,504.0,1839.0,,,,,,77.1
9,Marswood Hall,Oconee,4091.0,265.0,1547.0,533.0,1.0,2346.0,69.0,521.0,460.0,0.0,1050.0,3396.0,,,,,,83.0
10,East Oconee,Oconee,2647.0,115.0,954.0,232.0,0.0,1301.0,68.0,387.0,316.0,0.0,771.0,2072.0,,,,,,78.3
11,Civic Center,Oconee,4396.0,281.0,1654.0,445.0,0.0,2380.0,77.0,648.0,462.0,0.0,1187.0,3567.0,,,,,,81.1
12,Rabun County,Rabun,13072.0,,,,,,,,,,,8252.0,1301.0,4939.0,2012.0,0.0,8252.0,63.1
