County,Registered Voters,Erica McCurdy (Rep)_Election Day Votes,Erica McCurdy (Rep)_Advanced Voting Votes,Erica McCurdy (Rep)_Absentee by Mail Votes,Erica McCurdy (Rep)_Provisional Votes,Erica McCurdy (Rep)_Choice Total,Beth Moore (I) (Dem)_Election Day Votes,Beth Moore (I) (Dem)_Advanced Voting Votes,Beth Moore (I) (Dem)_Absentee by Mail Votes,Beth Moore (I) (Dem)_Provisional Votes,Beth Moore (I) (Dem)_Choice Total,Total,calc_participation
Fulton,2317.0,92.0,788.0,217.0,0.0,1097.0,41.0,410.0,246.0,0.0,697.0,1794.0,77.4
Gwinnett,41199.0,3052.0,5217.0,3647.0,10.0,11926.0,2608.0,7018.0,6179.0,28.0,15833.0,27759.0,67.4
