,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
221,CP06A,Fulton,732.0,41.0,114.0,29.0,1.0,185.0,12.0,15.0,9.0,0.0,36.0,221.0,30.2
220,CP05B,Fulton,153.0,16.0,33.0,5.0,3.0,57.0,4.0,6.0,5.0,1.0,16.0,73.0,47.7
219,CP051,Fulton,1756.0,124.0,432.0,200.0,0.0,756.0,27.0,99.0,51.0,0.0,177.0,933.0,53.1
218,CP04B,Fulton,38.0,1.0,5.0,5.0,0.0,11.0,1.0,2.0,4.0,0.0,7.0,18.0,47.4
217,CP04A,Fulton,13.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,23.1
216,CP02,Fulton,1208.0,68.0,306.0,125.0,0.0,499.0,19.0,76.0,45.0,1.0,141.0,640.0,53.0
215,CP01B,Fulton,422.0,21.0,116.0,29.0,0.0,166.0,5.0,47.0,23.0,0.0,75.0,241.0,57.1
214,CP012,Fulton,1469.0,78.0,437.0,168.0,3.0,686.0,13.0,146.0,49.0,3.0,211.0,897.0,61.1
213,CP011,Fulton,1353.0,73.0,341.0,131.0,7.0,552.0,29.0,109.0,43.0,1.0,182.0,734.0,54.2
209,CH02,Fulton,338.0,33.0,85.0,37.0,0.0,155.0,14.0,38.0,25.0,0.0,77.0,232.0,68.6
126,08M,Fulton,2295.0,139.0,759.0,334.0,1.0,1233.0,48.0,276.0,101.0,3.0,428.0,1661.0,72.4
125,08L,Fulton,4505.0,218.0,1408.0,723.0,17.0,2366.0,71.0,460.0,179.0,4.0,714.0,3080.0,68.4
128,08N2,Fulton,1616.0,63.0,490.0,309.0,2.0,864.0,22.0,155.0,84.0,0.0,261.0,1125.0,69.6
248,FC02,Fulton,585.0,13.0,21.0,7.0,1.0,42.0,1.0,7.0,2.0,0.0,10.0,52.0,8.9
247,FC01,Fulton,325.0,21.0,108.0,21.0,1.0,151.0,1.0,20.0,5.0,1.0,27.0,178.0,54.8
