County,Registered Voters,David Bishop_Election Day Votes,David Bishop_Advanced Voting Votes,David Bishop_Absentee by Mail Votes,David Bishop_Provisional Votes,David Bishop_Choice Total,Total,"William D. Martin, IV_Election Day Votes","William D. Martin, IV_Advanced Voting Votes","William D. Martin, IV_Absentee by Mail Votes","William D. Martin, IV_Provisional Votes","William D. Martin, IV_Choice Total",calc_participation
Crawford,8512.0,0.0,0.0,0.0,0.0,0.0,4758.0,1168.0,2803.0,786.0,1.0,4758.0,55.9
Pulaski,5687.0,408.0,2364.0,473.0,1.0,3246.0,3246.0,0.0,0.0,0.0,0.0,0.0,57.1
