County,Registered Voters,Jenna Stewart Mashburn (I) (Rep)_Election Day Votes,Jenna Stewart Mashburn (I) (Rep)_Advanced Voting Votes,Jenna Stewart Mashburn (I) (Rep)_Absentee by Mail Votes,Jenna Stewart Mashburn (I) (Rep)_Provisional Votes,Jenna Stewart Mashburn (I) (Rep)_Choice Total,Total,Lamar Paris (I) (Dem)_Election Day Votes,Lamar Paris (I) (Dem)_Advanced Voting Votes,Lamar Paris (I) (Dem)_Absentee by Mail Votes,Lamar Paris (I) (Dem)_Provisional Votes,Lamar Paris (I) (Dem)_Choice Total,Greg Hogan (I) (Rep)_Election Day Votes,Greg Hogan (I) (Rep)_Advanced Voting Votes,Greg Hogan (I) (Rep)_Absentee by Mail Votes,Greg Hogan (I) (Rep)_Provisional Votes,Greg Hogan (I) (Rep)_Choice Total,Mike Davis (Rep)_Election Day Votes,Mike Davis (Rep)_Advanced Voting Votes,Mike Davis (Rep)_Absentee by Mail Votes,Mike Davis (Rep)_Provisional Votes,Mike Davis (Rep)_Choice Total,Eric Bisher (Ind)_Election Day Votes,Eric Bisher (Ind)_Advanced Voting Votes,Eric Bisher (Ind)_Absentee by Mail Votes,Eric Bisher (Ind)_Provisional Votes,Eric Bisher (Ind)_Choice Total,Steve A. Taylor (I) (Rep)_Election Day Votes,Steve A. Taylor (I) (Rep)_Advanced Voting Votes,Steve A. Taylor (I) (Rep)_Absentee by Mail Votes,Steve A. Taylor (I) (Rep)_Provisional Votes,Steve A. Taylor (I) (Rep)_Choice Total,calc_participation
Bartow,74409.0,0.0,0.0,0.0,0.0,0.0,42760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11198.0,23736.0,7805.0,21.0,42760.0,57.5
Bleckley,0.0,0.0,0.0,0.0,0.0,0.0,5476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,2247.0,544.0,1.0,3548.0,453.0,1040.0,434.0,1.0,1928.0,0.0,0.0,0.0,0.0,0.0,0.0
Murray,22284.0,0.0,0.0,0.0,0.0,0.0,13114.0,0.0,0.0,0.0,0.0,0.0,3884.0,7680.0,1550.0,0.0,13114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8
Pulaski,5687.0,401.0,2409.0,437.0,1.0,3248.0,3248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1
Union,19201.0,0.0,0.0,0.0,0.0,0.0,10877.0,2559.0,5723.0,2588.0,7.0,10877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6
