County,Registered Voters,Josh Bonner (I) (Rep)_Election Day Votes,Josh Bonner (I) (Rep)_Advanced Voting Votes,Josh Bonner (I) (Rep)_Absentee by Mail Votes,Josh Bonner (I) (Rep)_Provisional Votes,Josh Bonner (I) (Rep)_Choice Total,Fred Rovner (Dem)_Election Day Votes,Fred Rovner (Dem)_Advanced Voting Votes,Fred Rovner (Dem)_Absentee by Mail Votes,Fred Rovner (Dem)_Provisional Votes,Fred Rovner (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Coweta,12654.0,2296.0,3030.0,1137.0,0.0,6463.0,274.0,599.0,658.0,1.0,1532.0,7995.0,63.2,6463.0,1532.0
Fayette,43298.0,3576.0,13228.0,3689.0,21.0,20514.0,904.0,4546.0,2875.0,17.0,8342.0,28856.0,66.6,20514.0,8342.0
