,Precinct,County,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total,calc_participation
84,Coralwood,DeKalb,3153.0,110.0,372.0,239.0,2.0,723.0,105.0,873.0,924.0,2.0,1904.0,2627.0,83.3
107,McWilliams,DeKalb,2517.0,17.0,27.0,8.0,0.0,52.0,143.0,963.0,562.0,3.0,1671.0,1723.0,68.5
108,Medlock,DeKalb,2208.0,77.0,142.0,108.0,1.0,328.0,120.0,653.0,662.0,1.0,1436.0,1764.0,79.9
109,Miller Grove,DeKalb,4747.0,17.0,41.0,27.0,1.0,86.0,337.0,1364.0,686.0,10.0,2397.0,2483.0,52.3
110,Montreal,DeKalb,2586.0,75.0,168.0,110.0,0.0,353.0,171.0,754.0,503.0,3.0,1431.0,1784.0,69.0
111,Memorial South,DeKalb,3138.0,38.0,58.0,31.0,2.0,129.0,229.0,679.0,372.0,18.0,1298.0,1427.0,45.5
112,Midway,DeKalb,3139.0,22.0,55.0,40.0,0.0,117.0,176.0,743.0,620.0,5.0,1544.0,1661.0,52.9
113,Mathis-Bob Mathis Elem,DeKalb,2789.0,15.0,34.0,37.0,0.0,86.0,216.0,931.0,699.0,3.0,1849.0,1935.0,69.4
114,Miller Grove Road,DeKalb,2151.0,14.0,38.0,10.0,0.0,62.0,171.0,728.0,505.0,5.0,1409.0,1471.0,68.4
115,Miller Grove High,DeKalb,3470.0,14.0,31.0,15.0,0.0,60.0,277.0,960.0,445.0,7.0,1689.0,1749.0,50.4
116,North Decatur,DeKalb,2166.0,42.0,82.0,70.0,1.0,195.0,105.0,600.0,505.0,11.0,1221.0,1416.0,65.4
117,North Hairston,DeKalb,2329.0,40.0,64.0,46.0,2.0,152.0,196.0,611.0,398.0,7.0,1212.0,1364.0,58.6
118,Northlake,DeKalb,1509.0,107.0,129.0,115.0,0.0,351.0,81.0,402.0,381.0,1.0,865.0,1216.0,80.6
119,Oak Grove Elem,DeKalb,2253.0,135.0,280.0,169.0,1.0,585.0,104.0,580.0,569.0,0.0,1253.0,1838.0,81.6
120,Peachcrest,DeKalb,2458.0,31.0,57.0,31.0,0.0,119.0,162.0,601.0,439.0,3.0,1205.0,1324.0,53.9
121,Princeton Elem,DeKalb,2376.0,14.0,35.0,12.0,0.0,61.0,163.0,843.0,453.0,1.0,1460.0,1521.0,64.0
122,Pine Lake,DeKalb,632.0,35.0,6.0,7.0,0.0,48.0,219.0,135.0,72.0,0.0,426.0,474.0,75.0
123,Panola,DeKalb,1586.0,14.0,31.0,19.0,0.0,64.0,128.0,462.0,327.0,2.0,919.0,983.0,62.0
106,McLendon,DeKalb,3607.0,70.0,231.0,123.0,0.0,424.0,162.0,961.0,875.0,8.0,2006.0,2430.0,67.4
124,Panola Way Elem,DeKalb,2252.0,13.0,22.0,12.0,0.0,47.0,198.0,575.0,321.0,21.0,1115.0,1162.0,51.6
105,Marbut Elem,DeKalb,4234.0,19.0,34.0,15.0,1.0,69.0,315.0,1398.0,631.0,18.0,2362.0,2431.0,57.4
103,Lithonia High,DeKalb,3610.0,16.0,26.0,13.0,0.0,55.0,337.0,1065.0,539.0,11.0,1952.0,2007.0,55.6
86,Dunaire Elem,DeKalb,2268.0,34.0,65.0,59.0,1.0,159.0,175.0,611.0,411.0,6.0,1203.0,1362.0,60.1
87,Fairington Elem,DeKalb,5455.0,25.0,44.0,27.0,0.0,96.0,427.0,1566.0,655.0,15.0,2663.0,2759.0,50.6
88,Flat Shoals Parkway,DeKalb,3449.0,17.0,53.0,14.0,0.0,84.0,196.0,1297.0,761.0,4.0,2258.0,2342.0,67.9
89,Flat Rock Elem,DeKalb,3142.0,18.0,46.0,21.0,1.0,86.0,247.0,1314.0,533.0,6.0,2100.0,2186.0,69.6
90,Flakes Mill Fire Station,DeKalb,2103.0,8.0,32.0,19.0,0.0,59.0,119.0,735.0,424.0,5.0,1283.0,1342.0,63.8
91,Freedom Middle,DeKalb,3227.0,54.0,62.0,58.0,0.0,174.0,261.0,837.0,543.0,10.0,1651.0,1825.0,56.6
92,Glennwood,DeKalb,2715.0,15.0,64.0,49.0,0.0,128.0,31.0,469.0,348.0,1.0,849.0,977.0,36.0
93,Glenhaven,DeKalb,1880.0,34.0,34.0,33.0,0.0,101.0,215.0,474.0,312.0,4.0,1005.0,1106.0,58.8
94,Glenwood Road,DeKalb,2293.0,23.0,38.0,39.0,1.0,101.0,193.0,527.0,387.0,3.0,1110.0,1211.0,52.8
