,Precinct,County,Registered Voters,Tommy Waldrop (I)_Election Day Votes,Tommy Waldrop (I)_Advanced Voting Votes,Tommy Waldrop (I)_Absentee by Mail Votes,Tommy Waldrop (I)_Provisional Votes,Tommy Waldrop (I)_Choice Total,Total,"William E. """"Bill"""" Cline (I)_Election Day Votes","William E. """"Bill"""" Cline (I)_Advanced Voting Votes","William E. """"Bill"""" Cline (I)_Absentee by Mail Votes","William E. """"Bill"""" Cline (I)_Provisional Votes","William E. """"Bill"""" Cline (I)_Choice Total",calc_participation
25,Senoia,Coweta,5838.0,,,,,,3829.0,1052.0,1920.0,856.0,1.0,3829.0,65.6
27,Pine Road,Coweta,2095.0,,,,,,1346.0,534.0,524.0,288.0,0.0,1346.0,64.2
28,Dresden,Coweta,839.0,,,,,,562.0,360.0,115.0,87.0,0.0,562.0,67.0
29,Newnan,Coweta,3478.0,,,,,,1491.0,494.0,553.0,444.0,0.0,1491.0,42.9
30,Sharpsburg,Coweta,4526.0,,,,,,2953.0,892.0,1566.0,494.0,1.0,2953.0,65.2
31,Fischer Road,Coweta,4328.0,,,,,,2857.0,754.0,1469.0,632.0,2.0,2857.0,66.0
32,Cedar Creek,Coweta,5330.0,,,,,,3576.0,1034.0,1714.0,828.0,0.0,3576.0,67.1
33,Grantville,Coweta,2572.0,,,,,,1443.0,764.0,416.0,262.0,1.0,1443.0,56.1
34,Haralson,Coweta,2339.0,,,,,,1555.0,790.0,512.0,253.0,0.0,1555.0,66.5
35,Welcome,Coweta,3212.0,,,,,,2022.0,1089.0,537.0,396.0,0.0,2022.0,63.0
36,Panther Creek,Coweta,3028.0,,,,,,1843.0,909.0,556.0,378.0,0.0,1843.0,60.9
26,Moreland,Coweta,2758.0,,,,,,1886.0,913.0,613.0,360.0,0.0,1886.0,68.4
37,Raymond,Coweta,2492.0,,,,,,1656.0,651.0,679.0,326.0,0.0,1656.0,66.5
39,Smokey Road,Coweta,2559.0,,,,,,1311.0,528.0,461.0,321.0,1.0,1311.0,51.2
40,Central,Coweta,4395.0,,,,,,1586.0,516.0,667.0,398.0,5.0,1586.0,36.1
41,Newnan Centre,Coweta,20465.0,,,,,,11365.0,2700.0,5820.0,2844.0,1.0,11365.0,55.5
42,Greentop,Coweta,2846.0,,,,,,1636.0,585.0,594.0,457.0,0.0,1636.0,57.5
43,Expo Center,Coweta,1974.0,,,,,,1285.0,543.0,414.0,328.0,0.0,1285.0,65.1
44,White Oak,Coweta,4636.0,,,,,,2807.0,794.0,1449.0,563.0,1.0,2807.0,60.5
45,Madras,Coweta,4462.0,,,,,,2822.0,804.0,1339.0,676.0,3.0,2822.0,63.2
