,Precinct,County,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total,calc_participation
93,Riverdale 2,Clayton,3431.0,32.0,41.0,27.0,1.0,101.0,300.0,910.0,551.0,25.0,1786.0,1887.0,55.0
98,Riverdale 7,Clayton,3020.0,45.0,82.0,53.0,1.0,181.0,294.0,515.0,313.0,11.0,1133.0,1314.0,43.5
97,Riverdale 6,Clayton,3661.0,55.0,82.0,61.0,0.0,198.0,345.0,644.0,391.0,10.0,1390.0,1588.0,43.4
96,Riverdale 5,Clayton,2970.0,43.0,62.0,40.0,1.0,146.0,301.0,807.0,420.0,10.0,1538.0,1684.0,56.7
95,Riverdale 4,Clayton,4362.0,32.0,101.0,64.0,1.0,198.0,432.0,976.0,641.0,8.0,2057.0,2255.0,51.7
94,Riverdale 3,Clayton,3650.0,28.0,56.0,43.0,0.0,127.0,336.0,1095.0,599.0,4.0,2034.0,2161.0,59.2
92,Riverdale 1,Clayton,2330.0,14.0,53.0,30.0,1.0,98.0,179.0,828.0,439.0,7.0,1453.0,1551.0,66.6
91,Panhandle 2,Clayton,3382.0,88.0,266.0,101.0,1.0,456.0,268.0,1109.0,478.0,5.0,1860.0,2316.0,68.5
90,Panhandle 1,Clayton,2895.0,39.0,101.0,55.0,0.0,195.0,233.0,1036.0,566.0,2.0,1837.0,2032.0,70.2
89,Lovejoy 7,Clayton,2779.0,51.0,136.0,29.0,2.0,218.0,237.0,762.0,219.0,6.0,1224.0,1442.0,51.9
88,Lovejoy 6,Clayton,3708.0,33.0,109.0,69.0,1.0,212.0,279.0,1232.0,592.0,9.0,2112.0,2324.0,62.7
87,Lovejoy 5,Clayton,3451.0,32.0,84.0,52.0,0.0,168.0,289.0,1010.0,482.0,15.0,1796.0,1964.0,56.9
86,Lovejoy 4,Clayton,4149.0,36.0,137.0,63.0,0.0,236.0,277.0,1529.0,627.0,3.0,2436.0,2672.0,64.4
85,Lovejoy 3,Clayton,1666.0,21.0,97.0,67.0,0.0,185.0,114.0,588.0,352.0,3.0,1057.0,1242.0,74.5
