County,Registered Voters,Tripp Fitzner (Rep)_Election Day Votes,Tripp Fitzner (Rep)_Advanced Voting Votes,Tripp Fitzner (Rep)_Absentee by Mail Votes,Tripp Fitzner (Rep)_Provisional Votes,Tripp Fitzner (Rep)_Choice Total,Total,calc_participation,Rep_total
Candler,6300.0,544.0,2611.0,546.0,0.0,3701.0,3701.0,58.7,3701.0
Emanuel,13715.0,2855.0,3538.0,1193.0,1.0,7587.0,7587.0,55.3,7587.0
Jefferson,11334.0,1465.0,2427.0,749.0,8.0,4649.0,4649.0,41.0,4649.0
Toombs,0.0,2091.0,5298.0,1588.0,6.0,8983.0,8983.0,0.0,8983.0
Washington,12990.0,1855.0,3016.0,1318.0,5.0,6194.0,6194.0,47.7,6194.0
