County,Registered Voters,David Ralston (I) (Rep)_Election Day Votes,David Ralston (I) (Rep)_Advanced Voting Votes,David Ralston (I) (Rep)_Absentee by Mail Votes,David Ralston (I) (Rep)_Provisional Votes,David Ralston (I) (Rep)_Choice Total,Rick D. Day (Dem)_Election Day Votes,Rick D. Day (Dem)_Advanced Voting Votes,Rick D. Day (Dem)_Absentee by Mail Votes,Rick D. Day (Dem)_Provisional Votes,Rick D. Day (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Dawson,2723.0,400.0,915.0,348.0,0.0,1663.0,33.0,191.0,216.0,0.0,440.0,2103.0,77.2,1663.0,440.0
Fannin,20399.0,4028.0,5667.0,2334.0,17.0,12046.0,387.0,899.0,960.0,3.0,2249.0,14295.0,70.1,12046.0,2249.0
Gilmer,22264.0,4282.0,6796.0,2275.0,12.0,13365.0,427.0,1073.0,1066.0,0.0,2566.0,15931.0,71.6,13365.0,2566.0
