County,Registered Voters,Dale Washburn (I) (Rep)_Election Day Votes,Dale Washburn (I) (Rep)_Advanced Voting Votes,Dale Washburn (I) (Rep)_Absentee by Mail Votes,Dale Washburn (I) (Rep)_Provisional Votes,Dale Washburn (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Bibb,33624.0,4423.0,8958.0,4042.0,23.0,17446.0,17446.0,51.9,17446.0
Monroe,15492.0,1995.0,5379.0,1015.0,5.0,8394.0,8394.0,54.2,8394.0
