,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
0,Adairsville,Bartow,6995.0,644.0,2025.0,657.0,0.0,3326.0,297.0,803.0,171.0,1.0,1272.0,4598.0,65.7
14,White,Bartow,2723.0,533.0,626.0,287.0,1.0,1447.0,186.0,216.0,46.0,0.0,448.0,1895.0,69.6
13,Taylorsville,Bartow,2829.0,638.0,670.0,281.0,0.0,1589.0,196.0,178.0,44.0,0.0,418.0,2007.0,70.9
12,Pine Log,Bartow,2132.0,543.0,437.0,229.0,0.0,1209.0,154.0,131.0,26.0,0.0,311.0,1520.0,71.3
11,Mission Road,Bartow,4012.0,344.0,1167.0,474.0,1.0,1986.0,179.0,411.0,113.0,2.0,705.0,2691.0,67.1
10,Kingston,Bartow,2674.0,520.0,589.0,259.0,0.0,1368.0,202.0,187.0,59.0,0.0,448.0,1816.0,67.9
9,Hamilton Crossing,Bartow,6598.0,617.0,1980.0,460.0,1.0,3058.0,250.0,607.0,128.0,0.0,985.0,4043.0,61.3
15,Zena Drive,Bartow,6431.0,478.0,1378.0,636.0,4.0,2496.0,275.0,586.0,221.0,3.0,1085.0,3581.0,55.7
8,Folsom,Bartow,1448.0,324.0,309.0,130.0,0.0,763.0,111.0,86.0,21.0,0.0,218.0,981.0,67.7
6,Emerson,Bartow,3122.0,499.0,691.0,357.0,0.0,1547.0,179.0,187.0,66.0,1.0,433.0,1980.0,63.4
5,Center,Bartow,4007.0,583.0,1105.0,508.0,0.0,2196.0,194.0,353.0,94.0,2.0,643.0,2839.0,70.9
4,Cassville,Bartow,4588.0,365.0,1159.0,837.0,2.0,2363.0,183.0,455.0,215.0,3.0,856.0,3219.0,70.2
3,Cartersville West,Bartow,8129.0,566.0,2673.0,1096.0,1.0,4336.0,212.0,816.0,246.0,0.0,1274.0,5610.0,69.0
2,Cartersville East,Bartow,6805.0,555.0,1677.0,838.0,0.0,3070.0,253.0,650.0,232.0,1.0,1136.0,4206.0,61.8
1,Allatoona,Bartow,4729.0,435.0,1010.0,422.0,0.0,1867.0,242.0,416.0,101.0,0.0,759.0,2626.0,55.5
7,Euharlee,Bartow,5322.0,721.0,1484.0,495.0,0.0,2700.0,284.0,519.0,135.0,1.0,939.0,3639.0,68.4
16,Woodland,Bartow,1865.0,259.0,465.0,218.0,1.0,943.0,89.0,149.0,55.0,0.0,293.0,1236.0,66.3
