County,Registered Voters,Frank Ginn (I) (Rep)_Election Day Votes,Frank Ginn (I) (Rep)_Advanced Voting Votes,Frank Ginn (I) (Rep)_Absentee by Mail Votes,Frank Ginn (I) (Rep)_Provisional Votes,Frank Ginn (I) (Rep)_Choice Total,Dawn Johnson (Dem)_Election Day Votes,Dawn Johnson (Dem)_Advanced Voting Votes,Dawn Johnson (Dem)_Absentee by Mail Votes,Dawn Johnson (Dem)_Provisional Votes,Dawn Johnson (Dem)_Choice Total,Total,calc_participation
Barrow,55605.0,5850.0,16732.0,4209.0,3.0,26794.0,1692.0,4931.0,3366.0,3.0,9992.0,36786.0,66.2
Clarke,30780.0,1572.0,2757.0,1946.0,3.0,6278.0,2259.0,5872.0,5636.0,10.0,13777.0,20055.0,65.2
Jackson,39252.0,2670.0,10950.0,2497.0,4.0,16121.0,534.0,2065.0,1529.0,1.0,4129.0,20250.0,51.6
Madison,20720.0,3422.0,5927.0,1737.0,3.0,11089.0,765.0,1452.0,1139.0,1.0,3357.0,14446.0,69.7
