County,Registered Voters,Gloria S. Butler (I) (Dem)_Election Day Votes,Gloria S. Butler (I) (Dem)_Advanced Voting Votes,Gloria S. Butler (I) (Dem)_Absentee by Mail Votes,Gloria S. Butler (I) (Dem)_Provisional Votes,Gloria S. Butler (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
DeKalb,74401.0,5207.0,21579.0,12901.0,141.0,39828.0,39828.0,53.5,39828.0
Gwinnett,81738.0,6512.0,26074.0,13185.0,55.0,45826.0,45826.0,56.1,45826.0
