County,Registered Voters,Robert Francis Gore_Election Day Votes,Robert Francis Gore_Advanced Voting Votes,Robert Francis Gore_Absentee by Mail Votes,Robert Francis Gore_Provisional Votes,Robert Francis Gore_Choice Total,Total,Jerry Holcomb (I)_Election Day Votes,Jerry Holcomb (I)_Advanced Voting Votes,Jerry Holcomb (I)_Absentee by Mail Votes,Jerry Holcomb (I)_Provisional Votes,Jerry Holcomb (I)_Choice Total,"H. Cecil Stafford, Jr. (I)_Election Day Votes","H. Cecil Stafford, Jr. (I)_Advanced Voting Votes","H. Cecil Stafford, Jr. (I)_Absentee by Mail Votes","H. Cecil Stafford, Jr. (I)_Provisional Votes","H. Cecil Stafford, Jr. (I)_Choice Total","Horace B. Waller, Jr. (I)_Election Day Votes","Horace B. Waller, Jr. (I)_Advanced Voting Votes","Horace B. Waller, Jr. (I)_Absentee by Mail Votes","Horace B. Waller, Jr. (I)_Provisional Votes","Horace B. Waller, Jr. (I)_Choice Total",calc_participation
Chatham,200388.0,11360.0,0.0,0.0,0.0,0.0,56159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15949.0,39324.0,29531.0,179.0,96343.0,28.0
Liberty,35582.0,0.0,0.0,0.0,0.0,0.0,15513.0,2581.0,8771.0,4157.0,4.0,15513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6
Long,10470.0,0.0,0.0,0.0,0.0,0.0,4648.0,0.0,0.0,0.0,0.0,0.0,1322.0,2746.0,566.0,14.0,4648.0,0.0,0.0,0.0,0.0,0.0,44.4
McIntosh,9292.0,1020.0,2877.0,1231.0,1.0,5129.0,5129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2
