,Precinct,County,Registered Voters,Ron Stephens (I) (Rep)_Election Day Votes,Ron Stephens (I) (Rep)_Advanced Voting Votes,Ron Stephens (I) (Rep)_Absentee by Mail Votes,Ron Stephens (I) (Rep)_Provisional Votes,Ron Stephens (I) (Rep)_Choice Total,Marcus Thompson (Dem)_Election Day Votes,Marcus Thompson (Dem)_Advanced Voting Votes,Marcus Thompson (Dem)_Absentee by Mail Votes,Marcus Thompson (Dem)_Provisional Votes,Marcus Thompson (Dem)_Choice Total,Total,calc_participation
0,Danielsiding,Bryan,2291.0,109.0,282.0,63.0,0.0,454.0,32.0,104.0,83.0,0.0,219.0,673.0,29.4
1,Ways Station,Bryan,1974.0,174.0,464.0,70.0,1.0,709.0,66.0,268.0,188.0,1.0,523.0,1232.0,62.4
2,RH Rec Complex,Bryan,3264.0,211.0,815.0,139.0,1.0,1166.0,115.0,464.0,275.0,0.0,854.0,2020.0,61.9
3,JF Gregory Park,Bryan,2885.0,133.0,1156.0,194.0,0.0,1483.0,35.0,247.0,153.0,0.0,435.0,1918.0,66.5
4,Hwy 144 East,Bryan,5365.0,111.0,594.0,128.0,0.0,833.0,74.0,373.0,167.0,1.0,615.0,1448.0,27.0
5,Public Safety Complex,Bryan,2570.0,208.0,640.0,105.0,0.0,953.0,99.0,360.0,171.0,1.0,631.0,1584.0,61.6
7,6-10C Station 3,Chatham,4184.0,402.0,707.0,342.0,1.0,1452.0,255.0,636.0,586.0,4.0,1481.0,2933.0,70.1
8,6-11C Bamboo Farms,Chatham,5149.0,340.0,469.0,192.0,4.0,1005.0,434.0,970.0,658.0,4.0,2066.0,3071.0,59.6
9,7-08C Bloomingdale Comm Ctr,Chatham,2733.0,529.0,660.0,223.0,0.0,1412.0,79.0,121.0,129.0,1.0,330.0,1742.0,63.7
10,7-09C Savannah Holy C of G,Chatham,2823.0,237.0,329.0,167.0,1.0,734.0,218.0,366.0,355.0,0.0,939.0,1673.0,59.3
11,7-10C Progressive Rec Center,Chatham,4288.0,277.0,451.0,183.0,1.0,912.0,333.0,770.0,523.0,3.0,1629.0,2541.0,59.3
12,7-12C Pooler Church,Chatham,3334.0,185.0,567.0,226.0,4.0,982.0,172.0,678.0,467.0,0.0,1317.0,2299.0,69.0
13,7-16C Pooler Recreation Center Gymnasium,Chatham,3701.0,231.0,858.0,421.0,7.0,1517.0,120.0,563.0,443.0,6.0,1132.0,2649.0,71.6
6,Button Gwinnett,Liberty,2304.0,78.0,97.0,42.0,0.0,217.0,72.0,138.0,103.0,0.0,313.0,530.0,23.0
