,Precinct,County,Registered Voters,Travys Harper_Election Day Votes,Travys Harper_Advanced Voting Votes,Travys Harper_Absentee by Mail Votes,Travys Harper_Provisional Votes,Travys Harper_Choice Total,Ellis R. Lamme (I)_Election Day Votes,Ellis R. Lamme (I)_Advanced Voting Votes,Ellis R. Lamme (I)_Absentee by Mail Votes,Ellis R. Lamme (I)_Provisional Votes,Ellis R. Lamme (I)_Choice Total,Matthew R. Retter (I)_Election Day Votes,Matthew R. Retter (I)_Advanced Voting Votes,Matthew R. Retter (I)_Absentee by Mail Votes,Matthew R. Retter (I)_Provisional Votes,Matthew R. Retter (I)_Choice Total,Total,calc_participation
0,HARBINS A,Gwinnett,7182.0,262.0,1045.0,539.0,2.0,1848.0,470.0,2060.0,779.0,2.0,3311.0,428.0,1849.0,722.0,1.0,3000.0,8159.0,113.6
100,PINCKNEYVILLE U,Gwinnett,2090.0,119.0,231.0,164.0,1.0,515.0,290.0,434.0,278.0,1.0,1003.0,240.0,362.0,217.0,4.0,823.0,2341.0,112.0
101,PUCKETTS B,Gwinnett,3096.0,108.0,369.0,189.0,0.0,666.0,278.0,915.0,344.0,1.0,1538.0,250.0,861.0,333.0,1.0,1445.0,3649.0,117.9
102,BERKSHIRE L,Gwinnett,3265.0,210.0,375.0,253.0,0.0,838.0,294.0,618.0,304.0,1.0,1217.0,243.0,491.0,301.0,0.0,1035.0,3090.0,94.6
103,ROCKBRIDGE F,Gwinnett,5795.0,172.0,1094.0,452.0,3.0,1721.0,265.0,1657.0,568.0,3.0,2493.0,189.0,1343.0,537.0,1.0,2070.0,6284.0,108.4
104,SUGAR HILL F,Gwinnett,4112.0,198.0,455.0,305.0,0.0,958.0,414.0,1022.0,494.0,3.0,1933.0,358.0,891.0,459.0,2.0,1710.0,4601.0,111.9
105,SUWANEE C,Gwinnett,5675.0,158.0,656.0,558.0,3.0,1375.0,389.0,1421.0,830.0,3.0,2643.0,350.0,1233.0,703.0,4.0,2290.0,6308.0,111.2
106,CATES O,Gwinnett,1434.0,64.0,133.0,116.0,1.0,314.0,172.0,337.0,224.0,2.0,735.0,152.0,303.0,220.0,4.0,679.0,1728.0,120.5
107,BAYCREEK E,Gwinnett,3265.0,143.0,422.0,229.0,2.0,796.0,256.0,767.0,314.0,2.0,1339.0,231.0,666.0,322.0,1.0,1220.0,3355.0,102.8
108,BERKSHIRE M,Gwinnett,1864.0,83.0,172.0,155.0,0.0,410.0,187.0,465.0,308.0,2.0,962.0,152.0,412.0,249.0,2.0,815.0,2187.0,117.3
