,Precinct,County,Registered Voters,Horacena Tate (I) (Dem)_Election Day Votes,Horacena Tate (I) (Dem)_Advanced Voting Votes,Horacena Tate (I) (Dem)_Absentee by Mail Votes,Horacena Tate (I) (Dem)_Provisional Votes,Horacena Tate (I) (Dem)_Choice Total,Total,calc_participation
64,Smyrna 7A,Cobb,6378.0,338.0,2030.0,1880.0,0.0,4248.0,4248.0,66.6
49,Bryant 01,Cobb,2142.0,202.0,724.0,467.0,3.0,1396.0,1396.0,65.2
50,Bryant 02,Cobb,6209.0,557.0,1503.0,795.0,4.0,2859.0,2859.0,46.0
51,Harmony-Leland 01,Cobb,6394.0,429.0,2077.0,1511.0,3.0,4020.0,4020.0,62.9
52,Lindley 01,Cobb,4797.0,354.0,1566.0,1256.0,1.0,3177.0,3177.0,66.2
53,Mableton 02,Cobb,3330.0,105.0,252.0,210.0,0.0,567.0,567.0,17.0
54,Mableton 03,Cobb,3010.0,273.0,678.0,596.0,3.0,1550.0,1550.0,51.5
55,Mableton 04,Cobb,1581.0,139.0,375.0,394.0,0.0,908.0,908.0,57.4
48,Birney 02,Cobb,3894.0,278.0,1022.0,962.0,1.0,2263.0,2263.0,58.1
57,Norton Park 01,Cobb,4922.0,493.0,935.0,959.0,0.0,2387.0,2387.0,48.5
56,Nickajack 01,Cobb,4889.0,0.0,3.0,3.0,0.0,6.0,6.0,0.1
62,Smyrna 4A,Cobb,5842.0,247.0,916.0,1116.0,1.0,2280.0,2280.0,39.0
61,Smyrna 3B,Cobb,2496.0,12.0,65.0,65.0,0.0,142.0,142.0,5.7
63,Smyrna 6A,Cobb,5936.0,56.0,148.0,90.0,1.0,295.0,295.0,5.0
59,Pebblebrook 01,Cobb,5218.0,477.0,1421.0,980.0,2.0,2880.0,2880.0,55.2
58,Oakdale 01,Cobb,3944.0,51.0,177.0,128.0,0.0,356.0,356.0,9.0
60,Riverside 01,Cobb,2133.0,231.0,488.0,307.0,1.0,1027.0,1027.0,48.1
34,11B1,Fulton,894.0,70.0,293.0,28.0,3.0,394.0,394.0,44.1
35,11C,Fulton,3149.0,158.0,1339.0,568.0,6.0,2071.0,2071.0,65.8
36,11E1,Fulton,1340.0,117.0,387.0,164.0,6.0,674.0,674.0,50.3
37,FC01,Fulton,325.0,21.0,129.0,26.0,2.0,178.0,178.0,54.8
38,FC02,Fulton,585.0,13.0,25.0,8.0,2.0,48.0,48.0,8.2
39,FC03,Fulton,17.0,0.0,8.0,0.0,5.0,13.0,13.0,76.5
41,SC01B,Fulton,2088.0,122.0,1113.0,295.0,11.0,1541.0,1541.0,73.8
42,SC01C,Fulton,2249.0,80.0,1048.0,453.0,2.0,1583.0,1583.0,70.4
44,SC14A,Fulton,1030.0,63.0,319.0,98.0,0.0,480.0,480.0,46.6
45,SC16A,Fulton,5175.0,279.0,2434.0,864.0,0.0,3577.0,3577.0,69.1
46,SC30A,Fulton,157.0,5.0,44.0,57.0,8.0,114.0,114.0,72.6
47,SC30B,Fulton,1110.0,56.0,353.0,146.0,0.0,555.0,555.0,50.0
33,11B,Fulton,4395.0,326.0,1309.0,825.0,13.0,2473.0,2473.0,56.3
40,SC01A,Fulton,41.0,2.0,37.0,7.0,0.0,46.0,46.0,112.2
43,SC02,Fulton,1426.0,41.0,719.0,256.0,1.0,1017.0,1017.0,71.3
0,03B,Fulton,777.0,52.0,93.0,61.0,0.0,206.0,206.0,26.5
30,10J,Fulton,1238.0,140.0,181.0,129.0,13.0,463.0,463.0,37.4
1,03C,Fulton,1879.0,134.0,331.0,217.0,6.0,688.0,688.0,36.6
2,03H,Fulton,1091.0,89.0,215.0,98.0,0.0,402.0,402.0,36.8
3,03M,Fulton,965.0,153.0,239.0,80.0,2.0,474.0,474.0,49.1
4,03S,Fulton,908.0,98.0,201.0,98.0,0.0,397.0,397.0,43.7
5,08J,Fulton,3344.0,140.0,1269.0,435.0,5.0,1849.0,1849.0,55.3
6,08K,Fulton,1049.0,74.0,380.0,202.0,0.0,656.0,656.0,62.5
7,08L,Fulton,4505.0,216.0,1521.0,786.0,16.0,2539.0,2539.0,56.4
8,08P,Fulton,1887.0,119.0,641.0,221.0,8.0,989.0,989.0,52.4
9,09A,Fulton,3856.0,185.0,1512.0,576.0,9.0,2282.0,2282.0,59.2
10,09B,Fulton,464.0,28.0,75.0,64.0,0.0,167.0,167.0,36.0
11,09C,Fulton,3353.0,251.0,860.0,453.0,23.0,1587.0,1587.0,47.3
12,09D,Fulton,2299.0,218.0,429.0,284.0,9.0,940.0,940.0,40.9
13,09E,Fulton,3261.0,259.0,934.0,310.0,2.0,1505.0,1505.0,46.2
14,09G,Fulton,3943.0,228.0,1511.0,620.0,9.0,2368.0,2368.0,60.1
15,09H,Fulton,1185.0,76.0,407.0,152.0,1.0,636.0,636.0,53.7
16,09I,Fulton,1397.0,136.0,252.0,171.0,2.0,561.0,561.0,40.2
17,09K,Fulton,4002.0,262.0,843.0,466.0,11.0,1582.0,1582.0,39.5
18,09K1,Fulton,1518.0,108.0,311.0,40.0,1.0,460.0,460.0,30.3
19,09M,Fulton,2578.0,103.0,1201.0,345.0,0.0,1649.0,1649.0,64.0
20,10A,Fulton,3186.0,235.0,946.0,527.0,14.0,1722.0,1722.0,54.0
21,10B,Fulton,3965.0,234.0,1480.0,852.0,8.0,2574.0,2574.0,64.9
22,10C,Fulton,2598.0,139.0,685.0,317.0,13.0,1154.0,1154.0,44.4
23,10D,Fulton,4968.0,307.0,1116.0,523.0,138.0,2084.0,2084.0,41.9
24,10E,Fulton,1084.0,93.0,297.0,183.0,4.0,577.0,577.0,53.2
25,10F,Fulton,1208.0,109.0,305.0,198.0,12.0,624.0,624.0,51.7
26,10G,Fulton,1332.0,94.0,500.0,234.0,1.0,829.0,829.0,62.2
27,10H1,Fulton,439.0,30.0,149.0,77.0,14.0,270.0,270.0,61.5
28,10H2,Fulton,2623.0,165.0,535.0,329.0,6.0,1035.0,1035.0,39.5
29,10I,Fulton,331.0,13.0,154.0,89.0,0.0,256.0,256.0,77.3
31,10P,Fulton,1607.0,145.0,330.0,237.0,3.0,715.0,715.0,44.5
32,10R,Fulton,928.0,94.0,196.0,83.0,10.0,383.0,383.0,41.3
