County,Registered Voters,Garry Guan (Rep)_Election Day Votes,Garry Guan (Rep)_Advanced Voting Votes,Garry Guan (Rep)_Absentee by Mail Votes,Garry Guan (Rep)_Provisional Votes,Garry Guan (Rep)_Choice Total,Sally Harrell (I) (Dem)_Election Day Votes,Sally Harrell (I) (Dem)_Advanced Voting Votes,Sally Harrell (I) (Dem)_Absentee by Mail Votes,Sally Harrell (I) (Dem)_Provisional Votes,Sally Harrell (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
DeKalb,100778.0,4731.0,14892.0,6468.0,51.0,26142.0,4374.0,23085.0,15648.0,86.0,43193.0,69335.0,68.8,26142.0,43193.0
Fulton,8532.0,428.0,2099.0,855.0,7.0,3389.0,214.0,1640.0,1212.0,13.0,3079.0,6468.0,75.8,3389.0,3079.0
Gwinnett,19282.0,1716.0,2388.0,1857.0,2.0,5963.0,1535.0,3419.0,3119.0,14.0,8087.0,14050.0,72.9,5963.0,8087.0
