,Precinct,County,Registered Voters,James Burchett (I) (Rep)_Election Day Votes,James Burchett (I) (Rep)_Advanced Voting Votes,James Burchett (I) (Rep)_Absentee by Mail Votes,James Burchett (I) (Rep)_Provisional Votes,James Burchett (I) (Rep)_Choice Total,"Evans Primus, Jr. (Dem)_Election Day Votes","Evans Primus, Jr. (Dem)_Advanced Voting Votes","Evans Primus, Jr. (Dem)_Absentee by Mail Votes","Evans Primus, Jr. (Dem)_Provisional Votes","Evans Primus, Jr. (Dem)_Choice Total",Total,calc_participation
17,Pearson City,Atkinson,944.0,65.0,143.0,30.0,0.0,238.0,55.0,154.0,40.0,0.0,249.0,487.0,51.6
15,Axson,Atkinson,742.0,186.0,251.0,26.0,1.0,464.0,19.0,16.0,4.0,0.0,39.0,503.0,67.8
14,Pearson County,Atkinson,1802.0,232.0,690.0,75.0,0.0,997.0,25.0,69.0,34.0,0.0,128.0,1125.0,62.4
16,Willacoochee,Atkinson,1311.0,224.0,286.0,41.0,0.0,551.0,95.0,130.0,38.0,0.0,263.0,814.0,62.1
0,Lakeland,Lanier,5462.0,488.0,1778.0,264.0,0.0,2530.0,175.0,469.0,267.0,0.0,911.0,3441.0,63.0
9,Hahira Train Depot,Lowndes,5526.0,468.0,963.0,166.0,2.0,1599.0,45.0,176.0,85.0,4.0,310.0,1909.0,34.5
10,Trinity,Lowndes,10900.0,418.0,1594.0,333.0,13.0,2358.0,199.0,997.0,534.0,13.0,1743.0,4101.0,37.6
11,Northside,Lowndes,17467.0,21.0,171.0,28.0,1.0,221.0,5.0,37.0,16.0,1.0,59.0,280.0,1.6
12,Naylor,Lowndes,1291.0,226.0,339.0,55.0,1.0,621.0,56.0,173.0,77.0,2.0,308.0,929.0,72.0
13,Northgate Assembly,Lowndes,1997.0,95.0,354.0,67.0,15.0,531.0,48.0,222.0,85.0,6.0,361.0,892.0,44.7
5,405,Ware,636.0,200.0,195.0,48.0,1.0,444.0,10.0,7.0,9.0,0.0,26.0,470.0,73.9
6,406,Ware,1659.0,295.0,659.0,117.0,1.0,1072.0,20.0,51.0,23.0,0.0,94.0,1166.0,70.3
7,408,Ware,523.0,208.0,123.0,25.0,0.0,356.0,4.0,6.0,3.0,0.0,13.0,369.0,70.6
3,300,Ware,4061.0,362.0,1388.0,321.0,7.0,2078.0,95.0,294.0,175.0,6.0,570.0,2648.0,65.2
2,200A,Ware,2730.0,0.0,6.0,4.0,0.0,10.0,0.0,13.0,4.0,0.0,17.0,27.0,1.0
1,100,Ware,4740.0,34.0,137.0,103.0,0.0,274.0,95.0,442.0,476.0,3.0,1016.0,1290.0,27.2
4,404,Ware,373.0,156.0,67.0,31.0,1.0,255.0,6.0,4.0,17.0,0.0,27.0,282.0,75.6
8,409,Ware,984.0,219.0,353.0,70.0,0.0,642.0,9.0,24.0,18.0,0.0,51.0,693.0,70.4
