County,Registered Voters,Melanie Williams (Rep)_Election Day Votes,Melanie Williams (Rep)_Advanced Voting Votes,Melanie Williams (Rep)_Absentee by Mail Votes,Melanie Williams (Rep)_Provisional Votes,Melanie Williams (Rep)_Choice Total,Tonya P. Anderson (I) (Dem)_Election Day Votes,Tonya P. Anderson (I) (Dem)_Advanced Voting Votes,Tonya P. Anderson (I) (Dem)_Absentee by Mail Votes,Tonya P. Anderson (I) (Dem)_Provisional Votes,Tonya P. Anderson (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
DeKalb,39973.0,232.0,566.0,318.0,2.0,1118.0,2764.0,12745.0,6222.0,49.0,21780.0,22898.0,57.3,1118.0,21780.0
Newton,48370.0,3893.0,3769.0,2399.0,6.0,10067.0,4781.0,9027.0,7359.0,15.0,21182.0,31249.0,64.6,10067.0,21182.0
Rockdale,51168.0,1485.0,4935.0,2086.0,12.0,8518.0,2868.0,14643.0,7367.0,17.0,24895.0,33413.0,65.3,8518.0,24895.0
