County,Registered Voters,"Hubert Owens, Jr. (Rep)_Election Day Votes","Hubert Owens, Jr. (Rep)_Advanced Voting Votes","Hubert Owens, Jr. (Rep)_Absentee by Mail Votes","Hubert Owens, Jr. (Rep)_Provisional Votes","Hubert Owens, Jr. (Rep)_Choice Total",Dar'Shun Kendrick (I) (Dem)_Election Day Votes,Dar'Shun Kendrick (I) (Dem)_Advanced Voting Votes,Dar'Shun Kendrick (I) (Dem)_Absentee by Mail Votes,Dar'Shun Kendrick (I) (Dem)_Provisional Votes,Dar'Shun Kendrick (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
DeKalb,16899.0,99.0,256.0,159.0,1.0,515.0,984.0,5419.0,2891.0,26.0,9320.0,9835.0,58.2,515.0,9320.0
Gwinnett,33807.0,821.0,2532.0,1289.0,7.0,4649.0,1990.0,10267.0,5035.0,26.0,17318.0,21967.0,65.0,4649.0,17318.0
