County,Registered Voters,Eddie Lumsden (I) (Rep)_Election Day Votes,Eddie Lumsden (I) (Rep)_Advanced Voting Votes,Eddie Lumsden (I) (Rep)_Absentee by Mail Votes,Eddie Lumsden (I) (Rep)_Provisional Votes,Eddie Lumsden (I) (Rep)_Choice Total,Jonathan Gilreath-Harvey (Dem)_Election Day Votes,Jonathan Gilreath-Harvey (Dem)_Advanced Voting Votes,Jonathan Gilreath-Harvey (Dem)_Absentee by Mail Votes,Jonathan Gilreath-Harvey (Dem)_Provisional Votes,Jonathan Gilreath-Harvey (Dem)_Choice Total,Total,calc_participation
Chattooga,14143.0,2410.0,4449.0,1122.0,4.0,7985.0,366.0,774.0,615.0,2.0,1757.0,9742.0,68.9
Floyd,22528.0,3100.0,5126.0,1405.0,50.0,9681.0,500.0,1108.0,731.0,18.0,2357.0,12038.0,53.4
