County,Registered Voters,George E. Smith (I)_Election Day Votes,George E. Smith (I)_Advanced Voting Votes,George E. Smith (I)_Absentee by Mail Votes,George E. Smith (I)_Provisional Votes,George E. Smith (I)_Choice Total,Total,Fred Dilbeck (I)_Election Day Votes,Fred Dilbeck (I)_Advanced Voting Votes,Fred Dilbeck (I)_Absentee by Mail Votes,Fred Dilbeck (I)_Provisional Votes,Fred Dilbeck (I)_Choice Total,Abie Baker_Election Day Votes,Abie Baker_Advanced Voting Votes,Abie Baker_Absentee by Mail Votes,Abie Baker_Provisional Votes,Abie Baker_Choice Total,calc_participation
Franklin,15146.0,0.0,0.0,0.0,0.0,0.0,9414.0,2387.0,5375.0,1650.0,2.0,9414.0,0.0,0.0,0.0,0.0,0.0,62.2
Hart,16929.0,0.0,0.0,0.0,0.0,0.0,10365.0,0.0,0.0,0.0,0.0,0.0,2510.0,5936.0,1917.0,2.0,10365.0,61.2
Madison,20720.0,3778.0,6487.0,2259.0,2.0,12526.0,12526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5
