,Precinct,County,Registered Voters,Ginny Ehrhart (I) (Rep)_Election Day Votes,Ginny Ehrhart (I) (Rep)_Advanced Voting Votes,Ginny Ehrhart (I) (Rep)_Absentee by Mail Votes,Ginny Ehrhart (I) (Rep)_Provisional Votes,Ginny Ehrhart (I) (Rep)_Choice Total,James Francis Ryner (Dem)_Election Day Votes,James Francis Ryner (Dem)_Advanced Voting Votes,James Francis Ryner (Dem)_Absentee by Mail Votes,James Francis Ryner (Dem)_Provisional Votes,James Francis Ryner (Dem)_Choice Total,Total,calc_participation
0,Durham 01,Cobb,4256.0,158.0,621.0,277.0,0.0,1056.0,31.0,145.0,182.0,0.0,358.0,1414.0,33.2
1,Ford 01,Cobb,3161.0,326.0,985.0,454.0,1.0,1766.0,74.0,343.0,338.0,0.0,755.0,2521.0,79.8
2,Frey 01,Cobb,2582.0,180.0,830.0,339.0,0.0,1349.0,63.0,311.0,268.0,0.0,642.0,1991.0,77.1
3,Harrison 01,Cobb,3122.0,352.0,903.0,504.0,0.0,1759.0,94.0,317.0,317.0,0.0,728.0,2487.0,79.7
4,Kennesaw 2A,Cobb,3944.0,3.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,8.0,0.2
5,Kemp 03,Cobb,3955.0,524.0,1181.0,581.0,1.0,2287.0,97.0,399.0,404.0,0.0,900.0,3187.0,80.6
6,Lost Mountain 01,Cobb,3604.0,209.0,1072.0,542.0,1.0,1824.0,92.0,546.0,496.0,0.0,1134.0,2958.0,82.1
7,Lost Mountain 02,Cobb,4121.0,372.0,1424.0,639.0,0.0,2435.0,94.0,528.0,432.0,0.0,1054.0,3489.0,84.7
8,Lost Mountain 03,Cobb,5387.0,293.0,1721.0,757.0,0.0,2771.0,117.0,779.0,617.0,1.0,1514.0,4285.0,79.5
9,Lost Mountain 04,Cobb,2629.0,259.0,751.0,364.0,1.0,1375.0,61.0,342.0,319.0,0.0,722.0,2097.0,79.8
10,McClure 01,Cobb,3290.0,390.0,874.0,412.0,2.0,1678.0,113.0,379.0,403.0,1.0,896.0,2574.0,78.2
11,Mars Hill 02,Cobb,2916.0,310.0,611.0,278.0,0.0,1199.0,121.0,395.0,362.0,0.0,878.0,2077.0,71.2
12,Oregon 01,Cobb,1614.0,183.0,417.0,230.0,1.0,831.0,79.0,221.0,202.0,0.0,502.0,1333.0,82.6
13,Oregon 05,Cobb,3846.0,312.0,628.0,380.0,1.0,1321.0,162.0,889.0,653.0,0.0,1704.0,3025.0,78.7
14,Pine Mountain 01,Cobb,3491.0,252.0,610.0,282.0,1.0,1145.0,90.0,341.0,310.0,1.0,742.0,1887.0,54.1
15,Vaughan 01,Cobb,3146.0,372.0,974.0,388.0,0.0,1734.0,91.0,380.0,311.0,0.0,782.0,2516.0,80.0
