,Precinct,County,Registered Voters,Brian Anderson (I) (Rep)_Election Day Votes,Brian Anderson (I) (Rep)_Advanced Voting Votes,Brian Anderson (I) (Rep)_Absentee by Mail Votes,Brian Anderson (I) (Rep)_Provisional Votes,Brian Anderson (I) (Rep)_Choice Total,Total,calc_participation
0,Blackrock,Fayette,2699.0,161.0,689.0,365.0,9.0,1224.0,1224.0,45.4
20,Flat Creek,Fayette,2117.0,233.0,700.0,265.0,4.0,1202.0,1202.0,56.8
21,Braelinn,Fayette,1876.0,206.0,866.0,261.0,1.0,1334.0,1334.0,71.1
22,Kenwood,Fayette,1014.0,103.0,227.0,118.0,1.0,449.0,449.0,44.3
23,Banks,Fayette,1624.0,189.0,420.0,251.0,0.0,860.0,860.0,53.0
24,Harps Crossing,Fayette,1646.0,178.0,605.0,247.0,2.0,1032.0,1032.0,62.7
25,Willow Pond,Fayette,3100.0,283.0,1038.0,427.0,8.0,1756.0,1756.0,56.6
19,Windgate,Fayette,1011.0,140.0,414.0,104.0,2.0,660.0,660.0,65.3
26,Dogwood,Fayette,3092.0,281.0,1282.0,426.0,3.0,1992.0,1992.0,64.4
28,Jeff Davis,Fayette,2876.0,150.0,770.0,345.0,5.0,1270.0,1270.0,44.2
29,Murphy,Fayette,3224.0,220.0,1081.0,497.0,3.0,1801.0,1801.0,55.9
30,Fielding Ridge,Fayette,3497.0,318.0,1539.0,413.0,0.0,2270.0,2270.0,64.9
31,Willowbend,Fayette,2007.0,179.0,857.0,230.0,0.0,1266.0,1266.0,63.1
32,Camp Creek,Fayette,1895.0,182.0,823.0,239.0,2.0,1246.0,1246.0,65.8
33,Rising Star,Fayette,3833.0,414.0,1952.0,469.0,2.0,2837.0,2837.0,74.0
27,Oak Ridge,Fayette,2225.0,209.0,607.0,346.0,3.0,1165.0,1165.0,52.4
18,Aberdeen,Fayette,1805.0,162.0,760.0,206.0,0.0,1128.0,1128.0,62.5
17,Kedron,Fayette,4862.0,440.0,1843.0,592.0,2.0,2877.0,2877.0,59.2
16,Oak Grove,Fayette,1344.0,155.0,550.0,142.0,1.0,848.0,848.0,63.1
1,Brooks,Fayette,2567.0,553.0,1029.0,367.0,0.0,1949.0,1949.0,75.9
2,Europe,Fayette,3310.0,162.0,758.0,391.0,7.0,1318.0,1318.0,39.8
3,Fayetteville East,Fayette,2147.0,156.0,602.0,276.0,4.0,1038.0,1038.0,48.3
4,Fayetteville West,Fayette,2362.0,175.0,719.0,330.0,0.0,1224.0,1224.0,51.8
5,Flint,Fayette,1732.0,176.0,459.0,195.0,0.0,830.0,830.0,47.9
6,Hopeful,Fayette,2309.0,246.0,629.0,250.0,0.0,1125.0,1125.0,48.7
7,Morning Creek,Fayette,3059.0,193.0,913.0,517.0,1.0,1624.0,1624.0,53.1
8,Rareover,Fayette,3045.0,179.0,1481.0,278.0,3.0,1941.0,1941.0,63.7
9,Sandy Creek,Fayette,4848.0,246.0,1609.0,458.0,4.0,2317.0,2317.0,47.8
10,Shakerag East,Fayette,1689.0,229.0,588.0,185.0,2.0,1004.0,1004.0,59.4
11,Shakerag West,Fayette,1236.0,64.0,569.0,171.0,1.0,805.0,805.0,65.1
12,Starrsmill,Fayette,3572.0,439.0,1264.0,467.0,0.0,2170.0,2170.0,60.8
13,Whitewater,Fayette,3564.0,349.0,1526.0,514.0,8.0,2397.0,2397.0,67.3
14,Woolsey,Fayette,2542.0,346.0,1047.0,419.0,0.0,1812.0,1812.0,71.3
15,McIntosh,Fayette,3323.0,236.0,1404.0,458.0,2.0,2100.0,2100.0,63.2
34,Spring Hill,Fayette,3299.0,188.0,1103.0,410.0,1.0,1702.0,1702.0,51.6
35,Antioch,Fayette,1956.0,317.0,607.0,262.0,1.0,1187.0,1187.0,60.7
