,Precinct,County,Registered Voters,Marcus A. Wiedower (I) (Rep)_Election Day Votes,Marcus A. Wiedower (I) (Rep)_Advanced Voting Votes,Marcus A. Wiedower (I) (Rep)_Absentee by Mail Votes,Marcus A. Wiedower (I) (Rep)_Provisional Votes,Marcus A. Wiedower (I) (Rep)_Choice Total,Jonathan Wallace (Dem)_Election Day Votes,Jonathan Wallace (Dem)_Advanced Voting Votes,Jonathan Wallace (Dem)_Absentee by Mail Votes,Jonathan Wallace (Dem)_Provisional Votes,Jonathan Wallace (Dem)_Choice Total,Total,calc_participation
16,8C,Clarke,3910.0,179.0,345.0,198.0,0.0,722.0,266.0,789.0,707.0,2.0,1764.0,2486.0,63.6
14,7C,Clarke,2733.0,185.0,377.0,230.0,1.0,793.0,156.0,589.0,494.0,0.0,1239.0,2032.0,74.4
13,7A,Clarke,2968.0,29.0,49.0,18.0,0.0,96.0,52.0,168.0,110.0,0.0,330.0,426.0,14.4
12,4B,Clarke,4096.0,104.0,189.0,54.0,1.0,348.0,151.0,536.0,266.0,0.0,953.0,1301.0,31.8
11,4A,Clarke,2072.0,82.0,197.0,78.0,1.0,358.0,168.0,451.0,327.0,0.0,946.0,1304.0,62.9
10,1D,Clarke,2830.0,197.0,381.0,302.0,0.0,880.0,141.0,552.0,710.0,0.0,1403.0,2283.0,80.7
9,1C,Clarke,2242.0,163.0,291.0,181.0,0.0,635.0,131.0,511.0,543.0,0.0,1185.0,1820.0,81.2
15,8B,Clarke,2317.0,117.0,181.0,165.0,0.0,463.0,175.0,429.0,467.0,0.0,1071.0,1534.0,66.2
0,City Hall,Oconee,3910.0,261.0,1385.0,353.0,0.0,1999.0,97.0,727.0,382.0,0.0,1206.0,3205.0,82.0
6,North Oconee,Oconee,1244.0,171.0,520.0,127.0,0.0,818.0,18.0,141.0,79.0,0.0,238.0,1056.0,84.9
5,High Shoals,Oconee,1939.0,212.0,865.0,176.0,0.0,1253.0,36.0,263.0,120.0,0.0,419.0,1672.0,86.2
4,Bishop,Oconee,1938.0,212.0,784.0,162.0,0.0,1158.0,48.0,237.0,166.0,1.0,452.0,1610.0,83.1
3,Farmington,Oconee,737.0,143.0,240.0,47.0,0.0,430.0,20.0,76.0,61.0,0.0,157.0,587.0,79.6
2,Antioch,Oconee,1397.0,216.0,531.0,139.0,0.0,886.0,40.0,117.0,100.0,0.0,257.0,1143.0,81.8
1,Colham Ferry,Oconee,1847.0,188.0,783.0,184.0,1.0,1156.0,28.0,242.0,164.0,0.0,434.0,1590.0,86.1
7,Dark Corner,Oconee,3541.0,432.0,1634.0,339.0,0.0,2405.0,58.0,332.0,198.0,0.0,588.0,2993.0,84.5
8,Civic Center,Oconee,4396.0,291.0,1672.0,465.0,0.0,2428.0,78.0,668.0,464.0,0.0,1210.0,3638.0,82.8
