County,Registered Voters,Ronald Wesley Vann (I)_Election Day Votes,Ronald Wesley Vann (I)_Advanced Voting Votes,Ronald Wesley Vann (I)_Absentee by Mail Votes,Ronald Wesley Vann (I)_Provisional Votes,Ronald Wesley Vann (I)_Choice Total,Total,Keith Cromartie_Election Day Votes,Keith Cromartie_Advanced Voting Votes,Keith Cromartie_Absentee by Mail Votes,Keith Cromartie_Provisional Votes,Keith Cromartie_Choice Total,calc_participation,Ind_total
Dougherty,61172.0,0.0,0.0,0.0,0.0,0.0,29935.0,9932.0,11059.0,8859.0,85.0,29935.0,48.9,0.0
Miller,3912.0,560.0,1270.0,398.0,2.0,2230.0,2230.0,0.0,0.0,0.0,0.0,0.0,57.0,2230.0
