,Precinct,County,Registered Voters,Jason Hendrix (I) (Rep)_Election Day Votes,Jason Hendrix (I) (Rep)_Advanced Voting Votes,Jason Hendrix (I) (Rep)_Absentee by Mail Votes,Jason Hendrix (I) (Rep)_Provisional Votes,Jason Hendrix (I) (Rep)_Choice Total,Total,Kent Hall (Rep)_Election Day Votes,Kent Hall (Rep)_Advanced Voting Votes,Kent Hall (Rep)_Absentee by Mail Votes,Kent Hall (Rep)_Provisional Votes,Kent Hall (Rep)_Choice Total,Thomas Wayne Stephens (I) (Rep)_Election Day Votes,Thomas Wayne Stephens (I) (Rep)_Advanced Voting Votes,Thomas Wayne Stephens (I) (Rep)_Absentee by Mail Votes,Thomas Wayne Stephens (I) (Rep)_Provisional Votes,Thomas Wayne Stephens (I) (Rep)_Choice Total,Paulette Williams (Dem)_Election Day Votes,Paulette Williams (Dem)_Advanced Voting Votes,Paulette Williams (Dem)_Absentee by Mail Votes,Paulette Williams (Dem)_Provisional Votes,Paulette Williams (Dem)_Choice Total,calc_participation
16,Royston,Franklin,2034.0,,,,,,1255.0,323.0,674.0,258.0,0.0,1255.0,,,,,,,,,,,61.7
15,Canon,Franklin,1244.0,,,,,,844.0,306.0,416.0,122.0,0.0,844.0,,,,,,,,,,,67.8
14,Lavonia,Franklin,2355.0,,,,,,1420.0,361.0,804.0,255.0,0.0,1420.0,,,,,,,,,,,60.3
13,Northeast Franklin,Franklin,2935.0,,,,,,1888.0,474.0,1060.0,352.0,2.0,1888.0,,,,,,,,,,,64.3
12,West Franklin,Franklin,1764.0,,,,,,1120.0,339.0,595.0,186.0,0.0,1120.0,,,,,,,,,,,63.5
11,Carnesville,Franklin,2382.0,,,,,,1625.0,264.0,1107.0,254.0,0.0,1625.0,,,,,,,,,,,68.2
17,Southwest Franklin,Franklin,2432.0,,,,,,1627.0,416.0,971.0,240.0,0.0,1627.0,,,,,,,,,,,66.9
0,Sugar Valley,Gordon,1471.0,428.0,362.0,100.0,1.0,891.0,891.0,,,,,,,,,,,,,,,,60.6
10,Resaca,Gordon,1532.0,409.0,336.0,116.0,0.0,861.0,861.0,,,,,,,,,,,,,,,,56.2
9,Red Bud,Gordon,2965.0,655.0,936.0,179.0,1.0,1771.0,1771.0,,,,,,,,,,,,,,,,59.7
7,Lily Pond,Gordon,1914.0,365.0,600.0,163.0,0.0,1128.0,1128.0,,,,,,,,,,,,,,,,58.9
6,Gordon County,Gordon,6423.0,886.0,2027.0,526.0,0.0,3439.0,3439.0,,,,,,,,,,,,,,,,53.5
5,Oakman,Gordon,1439.0,445.0,255.0,97.0,0.0,797.0,797.0,,,,,,,,,,,,,,,,55.4
4,Oostanaula,Gordon,667.0,226.0,124.0,74.0,0.0,424.0,424.0,,,,,,,,,,,,,,,,63.6
3,Pine Chapel,Gordon,1071.0,319.0,261.0,67.0,0.0,647.0,647.0,,,,,,,,,,,,,,,,60.4
2,Sonoraville,Gordon,5380.0,1171.0,1723.0,435.0,0.0,3329.0,3329.0,,,,,,,,,,,,,,,,61.9
1,Plainville,Gordon,2044.0,534.0,473.0,163.0,3.0,1173.0,1173.0,,,,,,,,,,,,,,,,57.4
8,Fairmount,Gordon,1991.0,697.0,355.0,177.0,2.0,1231.0,1231.0,,,,,,,,,,,,,,,,61.8
18,Rabun County,Rabun,13072.0,,,,,,9183.0,,,,,,1164.0,4540.0,1696.0,0.0,7400.0,201.0,806.0,776.0,0.0,1783.0,70.2
