County,Registered Voters,"George Cathrall, Jr. (I)_Election Day Votes","George Cathrall, Jr. (I)_Advanced Voting Votes","George Cathrall, Jr. (I)_Absentee by Mail Votes","George Cathrall, Jr. (I)_Provisional Votes","George Cathrall, Jr. (I)_Choice Total",Total,Patrick Shivers (I)_Election Day Votes,Patrick Shivers (I)_Advanced Voting Votes,Patrick Shivers (I)_Absentee by Mail Votes,Patrick Shivers (I)_Provisional Votes,Patrick Shivers (I)_Choice Total,calc_participation
Clay,2053.0,0.0,0.0,0.0,0.0,0.0,1270.0,273.0,661.0,336.0,0.0,1270.0,61.9
Quitman,1547.0,266.0,452.0,186.0,1.0,905.0,905.0,0.0,0.0,0.0,0.0,0.0,58.5
