County,Registered Voters,Jason T. Ridley (I) (Rep)_Election Day Votes,Jason T. Ridley (I) (Rep)_Advanced Voting Votes,Jason T. Ridley (I) (Rep)_Absentee by Mail Votes,Jason T. Ridley (I) (Rep)_Provisional Votes,Jason T. Ridley (I) (Rep)_Choice Total,Total,calc_participation
Murray,13353.0,1849.0,3534.0,636.0,0.0,6019.0,6019.0,45.1
Whitfield,23361.0,4292.0,6131.0,1773.0,12.0,12208.0,12208.0,52.3
