,Precinct,County,Registered Voters,Mark T. Saxon (I) (Rep)_Election Day Votes,Mark T. Saxon (I) (Rep)_Advanced Voting Votes,Mark T. Saxon (I) (Rep)_Absentee by Mail Votes,Mark T. Saxon (I) (Rep)_Provisional Votes,Mark T. Saxon (I) (Rep)_Choice Total,Total,calc_participation
0,City Hall,Oconee,3910.0,333.0,1765.0,504.0,0.0,2602.0,2602.0,66.5
1,Colham Ferry,Oconee,1847.0,207.0,891.0,242.0,1.0,1341.0,1341.0,72.6
2,Antioch,Oconee,1397.0,246.0,593.0,178.0,0.0,1017.0,1017.0,72.8
3,Farmington,Oconee,737.0,157.0,276.0,79.0,0.0,512.0,512.0,69.5
4,Bishop,Oconee,1938.0,237.0,892.0,229.0,2.0,1360.0,1360.0,70.2
5,High Shoals,Oconee,1939.0,232.0,990.0,219.0,0.0,1441.0,1441.0,74.3
6,North Oconee,Oconee,1244.0,184.0,602.0,165.0,0.0,951.0,951.0,76.4
7,Dark Corner,Oconee,3541.0,465.0,1804.0,417.0,1.0,2687.0,2687.0,75.9
8,Bogart,Oconee,2384.0,353.0,976.0,311.0,0.0,1640.0,1640.0,68.8
9,Marswood Hall,Oconee,4091.0,314.0,1838.0,780.0,1.0,2933.0,2933.0,71.7
10,East Oconee,Oconee,2647.0,161.0,1175.0,361.0,0.0,1697.0,1697.0,64.1
11,Civic Center,Oconee,4396.0,329.0,2055.0,692.0,0.0,3076.0,3076.0,70.0
