County,Registered Voters,Steve Tarvin (I) (Rep)_Election Day Votes,Steve Tarvin (I) (Rep)_Advanced Voting Votes,Steve Tarvin (I) (Rep)_Absentee by Mail Votes,Steve Tarvin (I) (Rep)_Provisional Votes,Steve Tarvin (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Catoosa,7450.0,1319.0,3026.0,549.0,3.0,4897.0,4897.0,65.7,4897.0
Walker,23377.0,2772.0,7490.0,1940.0,2.0,12204.0,12204.0,52.2,12204.0
Whitfield,7818.0,1623.0,2521.0,737.0,1.0,4882.0,4882.0,62.4,4882.0
