,Precinct,County,Registered Voters,Brandon Beach (I) (Rep)_Election Day Votes,Brandon Beach (I) (Rep)_Advanced Voting Votes,Brandon Beach (I) (Rep)_Absentee by Mail Votes,Brandon Beach (I) (Rep)_Provisional Votes,Brandon Beach (I) (Rep)_Choice Total,Total,calc_participation
22,Ball Ground,Cherokee,4065.0,550.0,1797.0,377.0,1.0,2725.0,2725.0,67.0
24,Booth,Cherokee,3899.0,435.0,1345.0,563.0,0.0,2343.0,2343.0,60.1
25,Bradshaw,Cherokee,4491.0,532.0,1847.0,706.0,0.0,3085.0,3085.0,68.7
26,Conns Creek,Cherokee,895.0,265.0,291.0,74.0,0.0,630.0,630.0,70.4
27,Deer Run,Cherokee,3035.0,642.0,814.0,389.0,1.0,1846.0,1846.0,60.8
28,Freehome,Cherokee,5790.0,744.0,2330.0,925.0,0.0,3999.0,3999.0,69.1
29,Hickory Flat,Cherokee,7334.0,842.0,2924.0,986.0,1.0,4753.0,4753.0,64.8
30,Hightower,Cherokee,3483.0,508.0,1484.0,460.0,0.0,2452.0,2452.0,70.4
31,Hillside,Cherokee,3155.0,411.0,1211.0,477.0,0.0,2099.0,2099.0,66.5
32,Holly Springs,Cherokee,3262.0,509.0,991.0,348.0,0.0,1848.0,1848.0,56.7
33,Little River,Cherokee,7480.0,81.0,224.0,117.0,0.0,422.0,422.0,5.6
34,Macedonia,Cherokee,4853.0,693.0,2043.0,687.0,0.0,3423.0,3423.0,70.5
35,Mountain Road,Cherokee,3078.0,609.0,1008.0,412.0,1.0,2030.0,2030.0,66.0
36,Neese,Cherokee,7642.0,885.0,2274.0,1113.0,0.0,4272.0,4272.0,55.9
37,Rosecreek,Cherokee,3748.0,571.0,1312.0,492.0,0.0,2375.0,2375.0,63.4
38,Sixes,Cherokee,3101.0,459.0,1104.0,488.0,0.0,2051.0,2051.0,66.1
39,Toonigh,Cherokee,6641.0,779.0,2468.0,871.0,0.0,4118.0,4118.0,62.0
40,Union Hill,Cherokee,4207.0,851.0,1521.0,603.0,2.0,2977.0,2977.0,70.8
41,Univeter,Cherokee,5434.0,623.0,2189.0,661.0,0.0,3473.0,3473.0,63.9
42,Wildcat,Cherokee,3215.0,558.0,1131.0,319.0,0.0,2008.0,2008.0,62.5
23,Bascomb,Cherokee,4115.0,385.0,785.0,318.0,0.0,1488.0,1488.0,36.2
43,Woodlands,Cherokee,3456.0,750.0,844.0,479.0,0.0,2073.0,2073.0,60.0
44,Woodstock,Cherokee,7345.0,808.0,2162.0,887.0,1.0,3858.0,3858.0,52.5
20,Arnold Mill,Cherokee,4884.0,848.0,1653.0,737.0,0.0,3238.0,3238.0,66.3
19,Air Acres,Cherokee,3050.0,498.0,895.0,452.0,1.0,1846.0,1846.0,60.5
21,Avery,Cherokee,3592.0,488.0,1495.0,556.0,1.0,2540.0,2540.0,70.7
1,AP06,Fulton,1967.0,141.0,841.0,268.0,0.0,1250.0,1250.0,63.5
2,AP07A,Fulton,3910.0,235.0,1214.0,476.0,12.0,1937.0,1937.0,49.5
3,AP07B,Fulton,1882.0,105.0,726.0,260.0,11.0,1102.0,1102.0,58.6
4,AP09A,Fulton,4437.0,297.0,1489.0,600.0,8.0,2394.0,2394.0,54.0
5,AP10,Fulton,992.0,63.0,416.0,130.0,26.0,635.0,635.0,64.0
6,AP12A,Fulton,746.0,55.0,210.0,74.0,5.0,344.0,344.0,46.1
7,AP12B,Fulton,947.0,56.0,178.0,107.0,5.0,346.0,346.0,36.5
8,AP12C,Fulton,2367.0,135.0,892.0,277.0,11.0,1315.0,1315.0,55.6
10,ML02B,Fulton,1914.0,165.0,817.0,285.0,1.0,1268.0,1268.0,66.2
11,ML03,Fulton,3718.0,311.0,1571.0,537.0,6.0,2425.0,2425.0,65.2
12,ML03A,Fulton,301.0,17.0,145.0,17.0,2.0,181.0,181.0,60.1
13,ML04,Fulton,3322.0,241.0,1325.0,465.0,26.0,2057.0,2057.0,61.9
14,ML05,Fulton,4843.0,320.0,1694.0,609.0,12.0,2635.0,2635.0,54.4
15,ML06A,Fulton,2181.0,164.0,519.0,165.0,4.0,852.0,852.0,39.1
16,ML06B,Fulton,3119.0,195.0,838.0,349.0,4.0,1386.0,1386.0,44.4
17,ML07A,Fulton,836.0,132.0,288.0,103.0,0.0,523.0,523.0,62.6
18,ML07B,Fulton,1675.0,243.0,604.0,222.0,1.0,1070.0,1070.0,63.9
9,ML02A,Fulton,2580.0,285.0,1090.0,356.0,2.0,1733.0,1733.0,67.2
0,AP05,Fulton,4776.0,327.0,1666.0,721.0,4.0,2718.0,2718.0,56.9
