,Precinct,County,Registered Voters,Jason Blackmon_Election Day Votes,Jason Blackmon_Advanced Voting Votes,Jason Blackmon_Absentee by Mail Votes,Jason Blackmon_Provisional Votes,Jason Blackmon_Choice Total,Wayne Jackson_Election Day Votes,Wayne Jackson_Advanced Voting Votes,Wayne Jackson_Absentee by Mail Votes,Wayne Jackson_Provisional Votes,Wayne Jackson_Choice Total,James M. Watson_Election Day Votes,James M. Watson_Advanced Voting Votes,James M. Watson_Absentee by Mail Votes,James M. Watson_Provisional Votes,James M. Watson_Choice Total,Total,calc_participation
0,Bremen,Haralson,6622.0,654.0,1566.0,478.0,0.0,2698.0,235.0,579.0,166.0,0.0,980.0,94.0,188.0,74.0,0.0,356.0,4034.0,60.9
1,Buchanan,Haralson,2365.0,285.0,559.0,173.0,1.0,1018.0,80.0,206.0,60.0,0.0,346.0,47.0,92.0,26.0,0.0,165.0,1529.0,64.7
2,Buncombe,Haralson,1075.0,247.0,188.0,81.0,0.0,516.0,51.0,43.0,11.0,0.0,105.0,11.0,26.0,8.0,0.0,45.0,666.0,62.0
3,Corinth,Haralson,1682.0,268.0,357.0,123.0,0.0,748.0,89.0,100.0,14.0,0.0,203.0,33.0,68.0,19.0,0.0,120.0,1071.0,63.7
4,Twentieth,Haralson,738.0,161.0,123.0,54.0,0.0,338.0,27.0,42.0,17.0,0.0,86.0,20.0,16.0,10.0,0.0,46.0,470.0,63.7
5,Felton,Haralson,304.0,75.0,48.0,12.0,0.0,135.0,22.0,18.0,7.0,0.0,47.0,7.0,5.0,4.0,0.0,16.0,198.0,65.1
6,Little Creek,Haralson,699.0,206.0,118.0,54.0,0.0,378.0,40.0,29.0,9.0,0.0,78.0,17.0,18.0,4.0,0.0,39.0,495.0,70.8
7,Mt View,Haralson,330.0,93.0,36.0,20.0,0.0,149.0,21.0,28.0,3.0,0.0,52.0,13.0,7.0,5.0,0.0,25.0,226.0,68.5
8,Seventh,Haralson,1932.0,266.0,382.0,116.0,2.0,766.0,73.0,141.0,44.0,0.0,258.0,40.0,62.0,21.0,0.0,123.0,1147.0,59.4
9,Berea-Steadman,Haralson,665.0,164.0,127.0,50.0,0.0,341.0,34.0,32.0,6.0,0.0,72.0,15.0,11.0,2.0,0.0,28.0,441.0,66.3
10,Tallapoosa,Haralson,3072.0,470.0,726.0,300.0,0.0,1496.0,101.0,133.0,53.0,1.0,288.0,55.0,55.0,14.0,0.0,124.0,1908.0,62.1
11,Waco,Haralson,1183.0,223.0,207.0,72.0,0.0,502.0,62.0,75.0,12.0,0.0,149.0,45.0,17.0,13.0,0.0,75.0,726.0,61.4
