,Precinct,County,Registered Voters,Mickey Stephens (I) (Dem)_Election Day Votes,Mickey Stephens (I) (Dem)_Advanced Voting Votes,Mickey Stephens (I) (Dem)_Absentee by Mail Votes,Mickey Stephens (I) (Dem)_Provisional Votes,Mickey Stephens (I) (Dem)_Choice Total,Total,calc_participation
0,1-14C Compassion Christian Church,Chatham,1718.0,207.0,346.0,299.0,0.0,852.0,852.0,49.6
20,6-02C Windsor Forest Baptist,Chatham,2290.0,94.0,135.0,88.0,0.0,317.0,317.0,13.8
19,4-04C Lighthouse Baptist Church,Chatham,2470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3-15C Eli Whitney Complex,Chatham,816.0,94.0,186.0,195.0,0.0,475.0,475.0,58.2
17,3-14C Oglethorpe Charter Academy,Chatham,2381.0,292.0,540.0,487.0,0.0,1319.0,1319.0,55.4
16,3-13C New Cov 7 Day Adv Ch,Chatham,2303.0,286.0,451.0,296.0,2.0,1035.0,1035.0,44.9
15,3-12C Thunderbolt Muni Complex,Chatham,1678.0,311.0,269.0,266.0,1.0,847.0,847.0,50.5
14,3-11C Southside Baptist Church,Chatham,1481.0,264.0,289.0,224.0,2.0,779.0,779.0,52.6
13,3-10C Bible Baptist Church,Chatham,2640.0,449.0,539.0,467.0,1.0,1456.0,1456.0,55.2
12,3-09C Cokesbury Methodist,Chatham,664.0,135.0,98.0,101.0,0.0,334.0,334.0,50.3
21,6-05C Windsor Hall,Chatham,1993.0,280.0,403.0,299.0,0.0,982.0,982.0,49.3
11,3-08C Jenkins High School,Chatham,1210.0,167.0,266.0,202.0,0.0,635.0,635.0,52.5
9,3-04C First African Baptist Church,Chatham,1558.0,319.0,246.0,237.0,0.0,802.0,802.0,51.5
8,3-03C Savannah High School,Chatham,1185.0,199.0,213.0,137.0,3.0,552.0,552.0,46.6
7,3-01C Old Courthouse,Chatham,458.0,51.0,89.0,84.0,1.0,225.0,225.0,49.1
6,2-11C Stillwell Towers,Chatham,1900.0,331.0,282.0,261.0,1.0,875.0,875.0,46.1
5,2-09C Salvation Army,Chatham,3342.0,419.0,742.0,638.0,1.0,1800.0,1800.0,53.9
4,2-07C Christ Community Church,Chatham,2808.0,391.0,596.0,435.0,2.0,1424.0,1424.0,50.7
3,2-06C Eli Whitney Complex,Chatham,759.0,136.0,129.0,98.0,1.0,364.0,364.0,48.0
2,2-04C Fellowship of Love Church,Chatham,3178.0,454.0,609.0,598.0,1.0,1662.0,1662.0,52.3
1,1-16C Ferguson Ave Baptist,Chatham,2905.0,427.0,483.0,353.0,3.0,1266.0,1266.0,43.6
10,3-05C Aldersgate Youth Center,Chatham,2107.0,315.0,374.0,304.0,1.0,994.0,994.0,47.2
22,6-09C Trinity Lutheran Church,Chatham,3319.0,277.0,411.0,272.0,0.0,960.0,960.0,28.9
