County,Registered Voters,Winfred Dukes (I) (Dem)_Election Day Votes,Winfred Dukes (I) (Dem)_Advanced Voting Votes,Winfred Dukes (I) (Dem)_Absentee by Mail Votes,Winfred Dukes (I) (Dem)_Provisional Votes,Winfred Dukes (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Baker,2258.0,306.0,502.0,296.0,2.0,1106.0,1106.0,49.0,1106.0
Dougherty,26074.0,3929.0,4396.0,4059.0,37.0,12421.0,12421.0,47.6,12421.0
Miller,3912.0,436.0,916.0,351.0,1.0,1704.0,1704.0,43.6,1704.0
Seminole,5936.0,818.0,1375.0,374.0,0.0,2567.0,2567.0,43.2,2567.0
